GLOSS ID	LIST ID	ENGLISH	HUS	MUR	HYD	GAN	NAZ	UYU	HOP	YAS_C	THU
Backstrom-1992-210c-1	Burushaski-1	body (1st sing. m.)	iˈḍim	iˈḍim	iˈḍim	iˈḍim	iˈḍim	iˈḍim	iˈḍim	kɑˈlip	ǰiˈigɑndi
Backstrom-1992-210c-2	Burushaski-2	head	ˈyɑṭɪs	ˈyɑṭɪs	ˈyɑṭɪs	ˈyɑṭɪs	ˈyɑṭis	ˈyʌṭɪs	ˈyʌṭɪs	ˈyʌṭis	ˈyʌṭɪs
Backstrom-1992-210c-3	Burushaski-3	hair	g̣uyʌŋ	iˈɣuyʌŋ	g̣uyʌŋ	g̣uyʌŋ	g̣uyʌŋ	g̣uyʌŋ	g̣uyʌŋ	ɣoyʌŋ	ɣuyeŋ
Backstrom-1992-210c-4	Burushaski-4	face	ˈɪskil	ˈɪskil	ˈiskil	ˈɪskɪl	ˈiskil	ˈɪškil	ˈɪškil	ˈɪskil	ˈɪskil
Backstrom-1992-210c-5	Burushaski-5	eye	ˈɪlčɪn	ˈɪlčin	ˈɪlčin	ˈɪlčin	ˈɪlčin	ˈɪlčin	ˈɪlčin	ˈɪɬčɪn	ˈɪɬčɪn
Backstrom-1992-210c-6	Burushaski-6	ear	ɪlˈtumɑl	ɪlˈtumɑl	ɪlˈtumɑl	ɪlˈtumɑl	ɪlˈtumɑl	ɪlˈtumʌl	ɪlˈtumʌl	ˈtumɑl	guɬˈtumʌl
Backstrom-1992-210c-7	Burushaski-7	nose	iˈmupuṣ̌	iˈmupuṣ̌	iˈmupuṣ̌	iˈmupuṣ̌	iˈmupuṣ̌	iˈmupʊṣ̌	iˈmupʊṣ̌	muš	muš
Backstrom-1992-210c-8	Burushaski-8	mouth	ʌˈkʰʌt	iˈxʌt	iˈqʰʌt	iˈqʰɑt	ʌˈqʰʌt	iˈqʰʌt	ɪˈqʰʌt	xʌt	iˈxʌt
Backstrom-1992-210c-9	Burushaski-9	tooth	iˈmɛ	iˈmɛ	iˈmɛ	iˈmɛ	iˈmɛ	iˈmɛ	iˈmɛ	mɛ	
Backstrom-1992-210c-10	Burushaski-10	tongue	yuˈumus	yuˈumus	yuˈumus	yuˈumus	yuˈumus	yuˈumus	yuˈumus	yuˈuŋus	yuˈumus
Backstrom-1992-210c-11	Burushaski-11	chest	ɪnˈdɪl	ɪnˈdɪl	ɪnˈdɪl	ɪnˈdɪl	ɪnˈdɪl	ɪnˈdɪl	ɪnˈdɪl	ˈdɪliŋ	iˈdiliŋ
Backstrom-1992-210c-12	Burushaski-12	belly	yuˈul	yuˈul	yuˈul	yuˈul	yuˈul	yuˈul	yuˈul	yuˈul	yuˈul
Backstrom-1992-210c-13	Burushaski-13	arm	iˈšɑk	iˈšɑk	iˈšʌk	eˈšɑk	iˈšʌk	iˈšʌk	iˈšʌk	šʌk	šɛk
Backstrom-1992-210c-14	Burushaski-14	elbow	iˈsusun	iˈsusun	iˈsusun	iˈsusun	iˈsusun	iˈsusun	iˈsusun	ˈsɛsɛn	ˈsɛsɛn
Backstrom-1992-210c-15	Burushaski-15	palm of hand	iˈtɑtɑs	iˈtʌtʌs	iˈtʌtʌs	iˈtʌtʌs	iˈtʌtʌs	iˈtʌtʌs	iˈtʌtʌs	ˈtʌtʌs	ˈtʌtʌs
Backstrom-1992-210c-16	Burushaski-16	finger	ˈɛmiṣ̌	ˈɛmiṣ̌	ˈɛmiṣ̌	ˈɛmiɛnt͡s	ˈɛmiṣ̌	ˈɛmɪṣ̌	ˈɛmɪṣ̌	ˈɛmɛṣ̌	ˈɛmɛṣ̌
Backstrom-1992-210c-17	Burushaski-17	fingernail	yuˈuri	yuˈuri	yuˈuri	yuˈuli	yuˈuri	yuˈuri	yuˈuro	uˈuro	uˈuro
Backstrom-1992-210c-18	Burushaski-18	leg	ˈbʌt͡sin			ˈbʌt͡sin	ˈbʌt͡sin	ˈbʌt͡sɪn	ˈbʌt͡sʰɪn	tʌns	tʌns
Backstrom-1992-210c-19	Burushaski-19	skin	bʌṭ	bʌṭ	bʌṭ	bʌṭ	bʌṭ	bʌṭ	bʌṭ	bʌṭ	bʌṭ
Backstrom-1992-210c-20	Burushaski-20	bone	tin	tin	tin	tin	tin	tin	tin	tɛn	tɛn
Backstrom-1992-210c-21	Burushaski-21	heart		ɛs		ɛs	ɛs	ɛs	ɛs	ʔɛs	ɛs
Backstrom-1992-210c-22	Burushaski-22	blood	mulˈtʌn	mulˈtʌn	mulˈtʌn	mulˈtʌn	mulˈtʌn	mulˈtʌn	mulˈtʌn	muɬˈtʌn	muɬˈtʌn
Backstrom-1992-210c-23	Burushaski-23	urine	hɑˈrʌṣ̌	hɑˈrʌṣ̌	hɑˈrʌṣ̌	hɑˈrʌṣ̌	hɑˈrɑṣ̌	hɑˈrʌṣ̌	hɑˈrʌṣ̌	hɑˈrɛṣ̌	hɑˈrɛṣ̌
Backstrom-1992-210c-24	Burushaski-24	feces	g̣uˈrʌṣ̌	uyum hɑˈrʌṣ̌	g̣uˈrʌṣ̌	g̣uˈrʌṣ̌	g̣uˈrɑṣ̌ / uyum hɑˈrʌṣ̌	g̣uˈrʌṣ̌	g̣uˈrʌṣ̌	ɣorˈyɛṣ̌	ɣurˈyʌṣ̌
Backstrom-1992-210c-25	Burushaski-25	village	gɑũ	gɪˈrʌm	gɪˈrʌm	giˈrʌm	giˈrʌm	gɪˈrʌm	giˈrʌm	dɛ	dɛ
Backstrom-1992-210c-26	Burushaski-26	house	hɑ	hɑ	hɑ	hɑ	hɑ	hɑh	hɑh	hɑ	hɑ
Backstrom-1992-210c-27	Burushaski-27	roof	tɛš	ˈtɛši	ˈtɛši	ˈtɛši	ˈtɛši	tɛš	tɛš	šoɬt	šoɬt
Backstrom-1992-210c-28	Burushaski-28	door	hiŋ	hin	hɪŋ	hin	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ
Backstrom-1992-210c-29	Burushaski-29	firewood	g̣ʌˈšɪl	g̣ʌˈšɪl	g̣ʌˈšɪl	g̣ʌˈšɪl	g̣ʌˈšɪl	ɛsqulʌs čuuni	ɛsqulʌs čuuni	huṇ	hun
Backstrom-1992-210c-30	Burushaski-30	broom	ˈpʰopus	ˈpʰopus	ˈpʰopus	ˈpʰopus	ˈpʰopus	ˈpʰopʊs	ˈpʰopus	ˈpɸopus	ˈpɸopus
Backstrom-1992-210c-31	Burushaski-31	mortar (bowl)	tʌˈnus				tʌˈnus			tʌˈnʊs	
Backstrom-1992-210c-32	Burushaski-32	pestle	yʌtkus				yɑtkus			ɪs	ɪs
Backstrom-1992-210c-33	Burushaski-33	hammer	ˈḍwɑqo	hɑtoˈrɑ	hɑtoˈrɑ	ˈḍwɑqo	ˈḍwɑqo	pɸʌˈtiil	hɑtoˈrʌ	hɑtuˈrʌ	hɑtuˈrʌ
Backstrom-1992-210c-34	Burushaski-34	knife / pocketknife	č̣ʰur / čɑˈqu	č̣ʰur / čɑˈqu	č̣ʰur / čɑˈqu	č̣ʰur / čɑˈqu	č̣ʰur / čɑˈqu	č̣ʰur / čɑˈqu	č̣ʰur / čɑˈqu	tɛṣ̌k / čɑˈqu	tɛṣ̌k / tɛṣ̌k
Backstrom-1992-210c-35	Burushaski-35	axe	ˈgʌŋi	ˈgʌŋi	ˈgʌŋi	ˈgʸʌŋi	ˈgʌŋi	ˈgʌŋi	gʌyŋ	ˈgʸɛŋgi	ˈgʸɛŋgi
Backstrom-1992-210c-36	Burushaski-36	rope	gʌšk		gʌšk	gʌšk	gʌšk	gʌšk	gʌšk	ṭɛˈṭɛ	ṭɛˈṭɛ
Backstrom-1992-210c-37	Burushaski-37	thread	sʌr	sʌr	sʌr	sʌr	sʌr	sɑr	sɑr	sʌr	sʌr
Backstrom-1992-210c-38	Burushaski-38	needle	sɛl	sɛl	sɛl	sɛl	sɛl	sɛl	sɪl	sɪl	sɪl
Backstrom-1992-210c-39	Burushaski-39	cloth	ˈpʌči	ˈpʌči	ˈpʌči	ˈpʌči	ˈpʌči	sɑwˈdʌ	sɑwˈdʌ	kʌṭoɣʌr	kɑṭˈwɑr
Backstrom-1992-210c-40	Burushaski-40	ring	bʊˈrondo	bʊˈrondo	bʊˈrondo		bʊˈrondo	bʊˈrondo	bʊˈrondo	bʊˈrondo	bʊˈrʊndo
Backstrom-1992-210c-41	Burushaski-41	sun	sʌ	sʌ	sʌ	sɑ	sɑ	sɑ	sɑ	sɑ	sɑ
Backstrom-1992-210c-42	Burushaski-42	moon	hɑˈlʌnt͡s	hɑˈlʌnt͡s	hɑˈlʌnt͡s	hɑˈlʌnt͡s	hɑˈlʌnt͡s	hɑˈlʌnt͡s	hɑˈlʌnt͡s	hɑˈlʌnz	hɑˈlʌnt͡s
Backstrom-1992-210c-43	Burushaski-43	sky	ʌsˈmɑɑn	ʌsˈmɑɑn / ɑˈyʌš	ʌsˈmɑɑn / ɑˈyɛš	ɑsˈmɑɑn	ɑsˈmɑɑn / ɑˈyʌš	ɑsˈmɑɑn / ɑˈyʌš	ɑsˈmɑɑn	ɑˈyʌš / ɑsˈmɑɑn	ɑˈyʌš / ɑsˈmɑɑn
Backstrom-1992-210c-44	Burushaski-44	star	ɑsiˈi	ɑsiˈi	ɑsiˈi	ɑsiˈi	ɑsiˈi	ɑsiˈi	ɑsiˈi	ɑˈsuumun	ɑˈsuumun
Backstrom-1992-210c-45	Burushaski-45	rain	hɑˈrɑlt	hɑˈrɑlt	hɑˈrɑlt	hɑˈrʌlt	hɑˈrʌlt	hɑˈrʌlt	hɑˈrʌlt	diˈyɑɑrč	diˈyɑɑrčum
Backstrom-1992-210c-46	Burushaski-46	water	t͡sʰɪl	t͡sʰɪl	t͡sʰɪl	t͡sʰɪl	t͡sʰɪl	t͡sʰɪl	t͡sʰɪl	t͡sʰʌl	t͡sʰɪl
Backstrom-1992-210c-47	Burushaski-47	river	ˈsɪndʌ	ˈsɪndʌ	ˈsɪndʌ	ˈsɪndʌ	ˈsɪndʌ	ˈsɪndʌ	ˈsɪndʌ	ˈsʌnde	ˈsɪndʌ
Backstrom-1992-210c-48	Burushaski-48	cloud	quronč̣	quˈronč̣	quˈronč̣	quˈronč̣	quˈronč̣	qʰʌˈronč̣	qʰoˈroŋ	hɑˈrʌɬt	huˈronč̣
Backstrom-1992-210c-49	Burushaski-49	lightning	lʌm	lʌm	lʌlʌm	lʌm	lʌm		lʌlʌm	tʌm	lɑpflɑpf
