GLOSS ID	LIST ID	ENGLISH	HUS	MUR	HYD	GAN	NAZ	UYU	HOP	YAS_C	THU
Backstrom-1992-210c-50	Burushaski-50	rainbow	nironɑˈɑn	nironɑˈɑn	nironɑˈɑɣ	niironɑˈɑn	niroˈnɑŋ	biǰ̣oˈon	biǰ̣oˈon	mʌk	nʌk
Backstrom-1992-210c-51	Burushaski-51	wind	tɪṣ̌	tɪṣ̌	tiṣ̌	tɪṣ̌	tiṣ̌	tɪṣ̌	tiṣ̌	tɪṣ̌	tɪṣ̌
Backstrom-1992-210c-52	Burushaski-52	stone	dʌn	dʌn	dʌn	dʌn	dʌn	dʌn	dʌn	dʌn	dʌn
Backstrom-1992-210c-53	Burushaski-53	path	gʌn	gʌn	gʌn	gʌn	gʌn	gʌn	gʌn	gʌn	gʌn
Backstrom-1992-210c-54	Burushaski-54	sand	sɑo	sɑo	sɑo	sɑo	sɑo	sɑo	sɑo	sɑo	sɑo
Backstrom-1992-210c-55	Burushaski-55	fire	pʰu	pɸu	pɸu	pɸu	pʰu	pɸu	pɸu	pɸu	pɸu
Backstrom-1992-210c-56	Burushaski-56	smoke	tʰʌs	tʰʌs	tʰʌs	tʰʌs	tʰʌs	tʰʌs	tʰʌs	tʰʌs	tʰʌs
Backstrom-1992-210c-57	Burushaski-57	ash	ˈpʰɛtiŋ	ˈpʰɛtiŋ	ˈpʰɛtiŋ	ˈpʰɛtiŋ	ˈpʰɛtiŋ	ˈpʰɛtiŋ	ˈpʰɛtiŋ	ˈpʰɛtiŋ	ˈpʰɛtiŋ
Backstrom-1992-210c-58	Burushaski-58	mud	t͡sʰilˈɣiṣ̌ / tok	t͡sʰilˈɣiṣ̌		t͡sʰɪlˈɣiṣ̌	t͡sʰɪlˈɣiṣ̌	čʰiŋ	čʰiŋ	tok	toq
Backstrom-1992-210c-59	Burushaski-59	dust	tik	tik	tik	tik	tik	tik	tik	tik	tik
Backstrom-1992-210c-60	Burushaski-60	gold	ˈg̣ʌniṣ̌	ˈg̣ɛniṣ̌	ˈg̣ɛniṣ̌	ˈg̣ɛnɪṣ̌	ˈɣɛniṣ̌	ˈg̣ɛnɪṣ̌	ˈg̣ɛniṣ̌	ˈɣʌndɪṣ̌	ˈɣɛndɪṣ̌
Backstrom-1992-210c-61	Burushaski-61	tree	tom	tom	tom	tom	tom	tom	tom	drʌxt	drʌxt
Backstrom-1992-210c-62	Burushaski-62	leaf	tʌp	tʌp / kʰii	kʰɪỵ	tʌp	kʰɪỵ	tʌp / kʰɪỵ	tʌp	tʌp	tʌp
Backstrom-1992-210c-63	Burushaski-63	root	t͡sɪˈriṣ̌	t͡sɪˈriṣ̌	t͡sʰɪˈrɪṣ̌	t͡sɪˈriṣ̌	t͡sɪˈriṣ̌	t͡sɪˈrɪṣ̌	t͡siˈriṣ̌	t͡sɪˈrɪṣ̌	t͡sɪˈrɪṣ̌
Backstrom-1992-210c-64	Burushaski-64	thorn	čʰʌṣ̌	čʰʌṣ̌	čʰʌṣ̌	čʰʌṣ̌	čʰʌṣ̌	čʰʌṣ̌	čʰʌṣ̌	čʰʌš	čʰʌš
Backstrom-1992-210c-65	Burushaski-65	flower	ɑsˈqur	ɑsˈqur	ɑsˈqur	ɑsˈqur	ɑsˈqur	ɑsˈqur	ɑsˈqur	gʌmˈburi	gʌmˈburi
Backstrom-1992-210c-66	Burushaski-66	fruit	pʰʌlpʰruṭ	miˈwʌ	miˈwʌ	miˈwʌ	miˈwʌ	meˈwʌ	meˈwʌ	meˈwɑ	miˈwʌ
Backstrom-1992-210c-67	Burushaski-67	mango	ɑˑm	ɑˑm	ɑˑm	ɑˑm	ɑˑm	ɑˑm	ɑˑm	ɑˑm	ɑˑm
Backstrom-1992-210c-68	Burushaski-68	banana	keˈlʌ	keˈlʌ	keˈlʌ	kiˈlʌ	keˈlɑ	kiˈlʌ	kiˈlʌ	keˈlʌ	kɪˈlʌ
Backstrom-1992-210c-69	Burushaski-69	wheat	gur	gur	gur	gur	gur	gur	gur	gur	gur
Backstrom-1992-210c-70	Burushaski-70	millet	bʌỵ	bʌỵ	bʌỵ	bʌỵ	bʌỵ	bʌỵ	bʌỵ	bʌʰ	bʌʰ
Backstrom-1992-210c-71	Burushaski-71	rice	brʌs	brʌs	brʌs	brʌs	brʌs	briu	brɪu	grinč	grinč
Backstrom-1992-210c-72	Burushaski-72	potato	ɑˈlu	ɑˈlu	ɑˈlu	ɑˈlu	ɑˈlu	ɑˈlu	ɑˈlu	ɑˈlu	ɑˈlu
Backstrom-1992-210c-73	Burushaski-73	eggplant	beŋˈgʌn	beŋˈgʌn	ṣ̌eˈnʌ bɑˈlogʌn	ṣ̌ɪˈnɑ ˈbɑlogʌn	ṣ̌ɪˈnɑ ˈbɑlogʌn	ˈṣ̌eenʌ bɑˈlogʌn		pʌṭigɑn	ṣ̌eˑn bɑˈlogʌn
Backstrom-1992-210c-74	Burushaski-74	groundnut	muŋpʰʌˈli	mumpʰʌˈli	mumpʰʌˈli	mumpʰʌˈli	mumpʰʌˈli	mumpʰʌˈli	mumpʰʌˈli	mumpʰʌˈli	mumpʰʌˈli
Backstrom-1992-210c-75	Burushaski-75	chili	ˈmɑručo	ˈmɑrɪčo	ˈmɑrɪčo	ˈmɑričo	ˈmɑručo	ˈmɑruč	ˈmɑručo	mɑrč	mɑrč
Backstrom-1992-210c-76	Burushaski-76	turmeric	siˈŋur	hɑˈlɪč̣i	hɑˈlɪč̣i	hɑˈlič̣i	hɑˈlič̣i	hɑˈlič̣i	hɑˈlič̣i	zɛsčʌˈwɑ	žirčɑˈwʌ
Backstrom-1992-210c-77	Burushaski-77	garlic	bʊqˈpʌ	bʊqˈpʌ	bʊqˈpʌ	boqˈpʌ	boqˈpʌ	bʊqˈpʌ	bʊqˈpʌ	wʌẓ̌ˈnu	uẓ̌ˈnu
Backstrom-1992-210c-78	Burushaski-78	onion	g̣ʌˈšu	g̣ɑˈšu	g̣ɑˈšu	g̣ɑˈšu	ɣɑˈšu	g̣ɑˈšu	ɣɑˈšu	ɣɑˈšu	ɣɑˈšu
Backstrom-1992-210c-79	Burushaski-79	cauliflower	pʰul gobi	gobi	gobi	gobi ˈyɑṭumut͡s	tʰʌr gobi	gobi	pʰul gobi	pʰul gobi	bʌn gubi
Backstrom-1992-210c-80	Burushaski-80	tomato	bɑˈlogʌn	bɑˈlogʌn	bɑˈlogʌn	bɑˈlogʌn	bɑˈlogʌn	bɑˈlogʌn	bɑˈlogʌn	bɑˈlugun	bɑˈlugun
Backstrom-1992-210c-81	Burushaski-81	cabbage	gobi	gobi	bʌn gobi	gobi	bʌn gobi	mɑltʌṣ̌ gobi	bʌn gobi	bʌnd gobi	gobi
Backstrom-1992-210c-82	Burushaski-82	oil (cooking)	dɛl	dɛl	dɛl	dɛl	dɛl	dɛl	dɛl	dɪl	dɪl
Backstrom-1992-210c-83	Burushaski-83	salt	bɑˈyu	bɑˈyu	bɑˈyu	bɑˈyu	bɑˈyu	bɑˈyu	bɑˈyu	bɑˈyu	bɑˈyu
Backstrom-1992-210c-84	Burushaski-84	meat	čʰʌp	čʰʌp	čʰʌp	čʰʌp	čʰʌp	čʰʌp	čʰʌp	čʰʌp	čʰʌp
Backstrom-1992-210c-85	Burushaski-85	fat (part of meat)	bis	bis	bis	bis	bis	bis	bis	bɛs	bɛs
Backstrom-1992-210c-86	Burushaski-86	fish	ˈčʰumo	ˈčʰumo	ˈčʰumo	ˈčʰumo	ˈčʰumo	ˈčʰumo	ˈčʰumo	ˈčʰumo	ˈčʰumo
Backstrom-1992-210c-87	Burushaski-87	chicken (hen)	qɑrqɑˈɑmut͡s	qɑrqɑˈɑmut͡s	qɑrqɑˈɑmut͡s	qɑrqɑˈɑmut͡s	qɑrqɑˈɑmut͡s	qɑrqɑˈɑmut͡s	qɑrqɑˈɑmut͡s	qɑrˈqɑɑmuš	qɑrˈqɑɑmuš
Backstrom-1992-210c-88	Burushaski-88	one egg	tiˈŋʌn	tiˈnʌn	tiˈŋʌn	tiˈnʌn	tiˈŋʌn	tiˈgʌn	tiˈyʌn	tiˈŋʌn	tiˈŋʌn
Backstrom-1992-210c-89	Burushaski-89	cow	buˈɑ	buˈɑ	buˈɑ	buˈɑ	buˈɑ	buˈɑ	buˈɑ	biˈʌ	biˈʌ
Backstrom-1992-210c-90	Burushaski-90	buffalo	hiṣ̌mɑˈhiiṣ̌	hiṣ̌mɑˈhiiṣ̌	hiṣ̌mɑˈhiiṣ̌	hiṣ̌mɑˈhiiṣ̌	hiṣ̌mɑˈhiiṣ̌	hiiṣ̌mɑˈỵuṣ̌	bɛ̃ns	gʌˈmɛṣ̌	gʌˈmɛṣ̌
Backstrom-1992-210c-91	Burushaski-91	milk	mɑˈmu	mɑˈmu	mɑˈmu	mɑˈmu	mɑˈmu	mɑˈmu	mɑˈmo	mɑˈmu	mɑˈmu
Backstrom-1992-210c-92	Burushaski-92	horn	tur	tur	ɪlˈturiṣ̌	tur	tur	tur	tur	tur	tur
Backstrom-1992-210c-93	Burushaski-93	tail	ɪˈsumʌl	iˈsumɑl	iˈsumɑl	iˈsumɑl	iˈsumɑl	iˈsumɑl	iˈsumɑl	ˈšɪlʌn	ˈšɪlʌn
Backstrom-1992-210c-94	Burushaski-94	goat	t͡sʰiˈir	t͡sʰiˈir	t͡sʰiˈir	t͡sʰiˈir	t͡sʰiˈir	t͡sʰɪˈgir	t͡sʰɪˈgir	t͡siˈgir	t͡sɪˈgir
Backstrom-1992-210c-95	Burushaski-95	dog	huk	huk	huk	huk	huk	huk	huk	huk	huk
Backstrom-1992-210c-96	Burushaski-96	snake	tol	tol	tol	tol	tol	tol	tol	tul	tul
Backstrom-1992-210c-97	Burushaski-97	monkey	šɛˈdi	šʌˈdi	šɛˈdi	šʌˈdi	šʌˈdi	šʌˈdi	šʌˈdi	ˈšʊdi	bulˈyʌ
Backstrom-1992-210c-98	Burushaski-98	mosquito	šɪˈkʌr	ˈkʰišo	ˈkʰišo	ˈkʰišo	ˈkʰišo	ˈpʰič̣o	ṣ̌ɪˈqʌl	ˈkʰišo	ˈkʰišo
Backstrom-1992-210c-99	Burushaski-99	ant	kʰʊn	kʰon	kʰon	kʰon	kʰon	kʰʊn	kʰon	pɪˈliili	pɪˈliili
Backstrom-1992-210c-100	Burushaski-100	spider	pʰiˈrʌn	pʰɪˈrʌn	pʰɪˈrʌn	pʰiˈrʌn	pʰiˈrʌn	tʌlʌˈbuḍo	tʌlʌˈbuḍo	gɪˈṣ̌ʌṣ̌kɪn	gʌˈṣ̌ɪṣ̌kɪn
Backstrom-1992-210c-101	Burushaski-101	name	iˈik	iˈik	iˈik	iˈik	iˈik	iˈik	iˈik	yɪk	yɪk
Backstrom-1992-210c-102	Burushaski-102	man	hɪr	hɪr	hɪr	hir	hir	hir		hɪr	hɪr
Backstrom-1992-210c-103	Burushaski-103	woman	gus	gus	gus	gus	gus	gus	gus	gus	gus
Backstrom-1992-210c-104	Burushaski-104	child	gɪˈỵɑɑs	gɪˈỵɑɑs	gɪˈỵɑɑs	gɪˈỵɑɑs / hɪˈlɛs	hɪˈlɛs / gɪỵɑɑs	hiˈlʌs	hɪˈlɛs / giˈỵɑɑs	hɑˈlɛs / ˈdulʌs	hɑˈlɛs
Backstrom-1992-210c-105	Burushaski-105	father	yuˑ	yuˑ	yuˑ	yuˑ	yuˑ	yuˑ	yuˑ	ˈtʌti	ˈtʌti
Backstrom-1992-210c-106	Burushaski-106	mother	ˈimi	ˈimi	ˈimi	ˈimi	ˈimi	ˈimi	ˈimi	ˈnɑni	ˈnɑni
Backstrom-1992-210c-107	Burushaski-107	older brother	uˈyum ˈɛč̣o	uˈyum ˈɛč̣o	uˈyum ˈɛč̣o	uˈyum ˈɛč̣o	uˈyum ˈɛč̣o	uˈyum ˈɛč̣o	uˈyum ˈɛč̣o	nu ˈɛč̣o	nʸu ˈɛč̣o
Backstrom-1992-210c-108	Burushaski-108	younger brother	ǰoṭ ˈɛč̣o	ǰoṭ ˈɛč̣o	ǰoṭ ˈɛč̣o	ǰoṭ ˈɛč̣o	ǰoṭ ˈɛč̣o	ǰoṭ ˈɛč̣o	ǰoṭ ˈɛč̣o	ɛčoɣʊn ˈɛč̣o	ɛčoɣʊn ˈɛč̣o
Backstrom-1992-210c-109	Burushaski-109	older sister	uˈyum yʌs	uˈyum yʌs	uˈyum yʌs	uˈyum yʌs	uˈyum yʌs	uˈyum yʌs	uˈyum yʌs	nu yʌst	num yʌst
Backstrom-1992-210c-111	Burushaski-110	son	iˈi	iˈi	iˈi	iˈi	iˈi	iˈi	iˈi	yɪˈɪ	yɪˈɪ
Backstrom-1992-210c-112	Burushaski-111	daughter	ˈei	ˈei	ˈei	ˈei	ˈei	ˈei	ˈei	eˈi	ˈei
Backstrom-1992-210c-113	Burushaski-112	husband	muˈuyɑr	muˈuyɑr	muˈuyɑr	muˈuyɑr	muˈuyɑr	muˈuyɑr	muˈuyʌr	ˈyuhʌr	muˈyuwʌr
Backstrom-1992-210c-114	Burushaski-113	wife	yuˈus	yuˈus	yuˈus	yuˈus	yuˈus	yuˈus	yuˈus	us	us
Backstrom-1992-210c-115	Burushaski-114	boy	hiˈlɛs	hiˈlɛs	hiˈlɛs	hiˈlɛs	hiˈlɛs	hiˈlʌs	hɪˈlɛs	ˈhɑlɛs	ˈhɑlɛs
Backstrom-1992-210c-116	Burushaski-115	girl	dʌˈsin	dʌˈsin	dʌˈsɪn	dʌˈsin	dʌˈsin	dʌˈsin	dʌˈsin	dɑˈsɛn	dɑˈsɛn
Backstrom-1992-210c-117	Burushaski-116	day	gunt͡s	gunt͡s	gunt͡s	gunt͡s	gunt͡s	gunt͡s	gunt͡s	gunz	gunt͡s
Backstrom-1992-210c-118	Burushaski-117	night	tʰʌp	tʰʌp	tʰʌp	tʰʌp	tʰʌp	tʰʌp	tʰʌp	tʰʌp	tʰʌp
Backstrom-1992-210c-119	Burushaski-118	morning	ˈt͡sʰordinɛ	ˈt͡sʰordimo	ˈt͡sʰordimo	ˈt͡sʰordimo	ˈt͡sʰordinɛ	ˈt͡sʰoordi	t͡sʰoˈordimo	gunˈč̣ʌtiŋ	gunˈč̣ʌtiŋɛ
Backstrom-1992-210c-120	Burushaski-119	noon	duˈɣuy	duˈɣuy	doˈɣoy		duˈɣuy	doˈɣoy	doˈɣoymo	doˈɣoy	doˈɣoy
Backstrom-1992-210c-121	Burushaski-120	evening	šɑˈɑm	šɑˈɑm	sɑˈɑsɑṭumo	šɑˈɑm	šɑˈɑm	šɑˈɑm	šɑˈɑm	šɑm	šɑm
Backstrom-1992-210c-122	Burushaski-121	yesterday	sʌbuˈur	sʌbuˈur	sʌbuˈur	sɑbuˈur	sɑbuˈur	sɑbuˈur	sɑbuˈur	sɑˈɑtik	sɑˈɑtik
Backstrom-1992-210c-123	Burushaski-122	today	kʰuulto	kʰuulto	kʰuulto	kʰuulto	kʰuulto	kʰuulto	kʰuulto		ɑkʰuˈiŋ
Backstrom-1992-210c-124	Burushaski-123	tomorrow	ˈǰimɑle	ˈǰimɑle	ˈǰimɑle	ˈǰimɑle	ˈǰimɑle	ˈǰimʌle	ˈǰimʌle	gunˈč̣ʌṭ	gunˈč̣ʌṭ
Backstrom-1992-210c-125	Burushaski-124	week	ɑlˈtɑɑŋut͡s	ɑlˈtɑɑŋut͡s	ɑlˈtɑɑŋut͡s	ɑlˈtɑɑnut͡s	ɑlˈtɑɑŋut͡s	ɑlˈtɑɑŋut͡s	tʰʌˈlekut͡s	tʰɑˈlekut͡s / ˈhʌftʌ	tʰɑˈlʊkut͡s
Backstrom-1992-210c-126	Burushaski-125	month	ˈhɪsɑ	ˈhisɑ	ˈhisɑ	ˈhisɑ	ˈhisɑ	ˈhisʌ	ˈhisʌ	ˈhɪsɑ	ˈhɪsɑ
Backstrom-1992-210c-127	Burushaski-126	year	yoˈol / dɛn	yoˈol	yoˈol / dɛn	yoˈol	yoˈol	yoˈol	yoˈol	dɪn	dɛn
Backstrom-1992-210c-128	Burushaski-127	old (thing)	meˈen	meˈen	meˈen	meˈen	meˈen	meˈen	meˈen	ˈmɑyʊn	mɑˈyɛn
Backstrom-1992-210c-129	Burushaski-128	new	tʰoṣ̌	tʰoṣ̌	tʰoṣ̌	tʰoṣ̌	tʰoṣ̌	tʰoṣ̌	tʰoṣ̌	tʰoṣ̌	tʰoṣ̌
Backstrom-1992-210c-130	Burushaski-129	good	šuɑ	šuɑ	šuɑ	šuɑ	šuɑ	šuɑ	šuɑ	šuɑ	šuɑ
Backstrom-1992-210c-131	Burushaski-130	bad	g̣uniqɪṣ̌	g̣uˈnɛqɪṣ̌	g̣uˈnɛqɪṣ̌	g̣uˈniqɪṣ̌	ɣuˈniqiṣ̌	g̣ʌˈnɛqɪṣ̌	ɣoˈnɛqɪṣ̌	šum	šum
Backstrom-1992-210c-132	Burushaski-131	wet	hɑˈɣum	hɑˈɣum	hɑˈɣum	hɑˈɣum		hɑˈɣum	hɑˈɣum	zʌ	zʌ
Backstrom-1992-210c-133	Burushaski-132	dry	yuˈuỵum	yuˈuỵum	yuˈuỵum	yuˈuỵum	yuˈuỵum	yuˈuỵum	yuˈuỵum	biˈyʌm	biˈyʌm
