GLOSS ID	LIST ID	ENGLISH	DOMAAKI
Backstrom-1992-210e-1	Domaaki-1	body	mɪḍim
Backstrom-1992-210e-2	Domaaki-2	head	suṭo
Backstrom-1992-210e-3	Domaaki-3	hair	ǰɑṭ
Backstrom-1992-210e-4	Domaaki-4	face	mũ
Backstrom-1992-210e-5	Domaaki-5	eye	ɑˈčiŋ
Backstrom-1992-210e-6	Domaaki-6	ear	koṇ
Backstrom-1992-210e-7	Domaaki-7	nose	nok
Backstrom-1992-210e-8	Domaaki-8	mouth	ˈkɑšɑ
Backstrom-1992-210e-9	Domaaki-9	tooth	ˈdɑnɑ
Backstrom-1992-210e-10	Domaaki-10	tongue	ǰibɑ
Backstrom-1992-210e-11	Domaaki-11	breast	ɪnˈdilɑ
Backstrom-1992-210e-12	Domaaki-12	belly	peṭ
Backstrom-1992-210e-13	Domaaki-13	arm	šoˑk
Backstrom-1992-210e-14	Domaaki-14	elbow	bɑkʰʊni
Backstrom-1992-210e-15	Domaaki-15	palm	hʌtʌˈtɑɣɑ
Backstrom-1992-210e-16	Domaaki-16	finger	ɑgulɑ
Backstrom-1992-210e-17	Domaaki-17	fingernail	nɑˈurɑ
Backstrom-1992-210e-18	Domaaki-18	leg	pɑ̃šõ
Backstrom-1992-210e-19	Domaaki-19	skin	čom
Backstrom-1992-210e-20	Domaaki-20	bone	hoˑṭʰ
Backstrom-1992-210e-21	Domaaki-21	heart	
Backstrom-1992-210e-22	Domaaki-22	blood	rot
Backstrom-1992-210e-23	Domaaki-23	urine	muč̣
Backstrom-1992-210e-24	Domaaki-24	feces	guˑ
Backstrom-1992-210e-25	Domaaki-25	village	girom
Backstrom-1992-210e-26	Domaaki-26	house	gor
Backstrom-1992-210e-27	Domaaki-27	roof	tʰʌl
Backstrom-1992-210e-28	Domaaki-28	door	dor
Backstrom-1992-210e-29	Domaaki-29	firewood	kɑˈšɪlɑ
Backstrom-1992-210e-30	Domaaki-30	broom	ˈpʰopuš
Backstrom-1992-210e-31	Domaaki-31	mortar	tʌˈnus
Backstrom-1992-210e-32	Domaaki-32	pestle	yʌtkus
Backstrom-1992-210e-33	Domaaki-33	hammer	pʰʌṭil
Backstrom-1992-210e-34	Domaaki-34	knife	čʰuri
Backstrom-1992-210e-35	Domaaki-35	axe	čɑˈtol
Backstrom-1992-210e-36	Domaaki-36	rope	ˈgʌškɑ
Backstrom-1992-210e-37	Domaaki-37	thread	dom
Backstrom-1992-210e-38	Domaaki-38	needle	suỵɑ
Backstrom-1992-210e-39	Domaaki-39	cloth	kɑṭuɑ
Backstrom-1992-210e-40	Domaaki-40	ring	buˈrondo
Backstrom-1992-210e-41	Domaaki-41	sun	toó
Backstrom-1992-210e-42	Domaaki-42	moon	čonč̣
Backstrom-1992-210e-43	Domaaki-43	sky	ɑsˈmɑn
Backstrom-1992-210e-44	Domaaki-44	star	ˈtɑro
Backstrom-1992-210e-45	Domaaki-45	rain	ˈorʌp
Backstrom-1992-210e-46	Domaaki-46	water	pɑni
Backstrom-1992-210e-47	Domaaki-47	river	sinɑ
Backstrom-1992-210e-48	Domaaki-48	cloud	qʰɑˈronč̣
Backstrom-1992-210e-49	Domaaki-49	lightning	bɪǰɪli čʌmʌk hogiči
Backstrom-1992-210e-50	Domaaki-50	rainbow	niroˈnɑŋ
Backstrom-1992-210e-51	Domaaki-51	wind	bɑˈuɑ
Backstrom-1992-210e-52	Domaaki-52	stone	boṭ
Backstrom-1992-210e-53	Domaaki-53	path	pɑnɑ
Backstrom-1992-210e-54	Domaaki-54	sand	bɑli
Backstrom-1992-210e-55	Domaaki-55	fire	ɑk
Backstrom-1992-210e-56	Domaaki-56	smoke	dum
Backstrom-1992-210e-57	Domaaki-57	ash	čɪlino čʰor
Backstrom-1992-210e-58	Domaaki-58	mud	t͡sʰɪlˈɣɪṣ̌ / tɑˈɣo
Backstrom-1992-210e-59	Domaaki-59	dust	čʰor
Backstrom-1992-210e-60	Domaaki-60	gold	son
Backstrom-1992-210e-61	Domaaki-61	tree	tom
Backstrom-1992-210e-62	Domaaki-62	leaf	pɑṭɑ
Backstrom-1992-210e-63	Domaaki-63	root	moli
Backstrom-1992-210e-64	Domaaki-64	thorn	čʰõṣ̌
Backstrom-1992-210e-65	Domaaki-65	flower	pʰul
Backstrom-1992-210e-66	Domaaki-66	fruit	miˈwɑ
Backstrom-1992-210e-67	Domaaki-67	mango	ɑm
Backstrom-1992-210e-68	Domaaki-68	banana	kelɑ
Backstrom-1992-210e-69	Domaaki-69	wheat	goˈmu
