GLOSS ID	LIST ID	ENGLISH	URDU	PASHTO
Backstrom-1992-210a-50	Standard-50	rainbow	qɔsɪ qʊzʌh	dʌ buḍɑⁱ ṭʌl
Backstrom-1992-210a-51	Standard-51	wind	hʌwɑ (tufɑn nehĩ)	hɑwɑ
Backstrom-1992-210a-52	Standard-52	stone	pʌtʰˑʌr	kɑṇe
Backstrom-1992-210a-53	Standard-53	path	rɑstɑ	lɑr
Backstrom-1992-210a-54	Standard-54	sand	ret	šʌgʌ
Backstrom-1992-210a-55	Standard-55	fire	ɑg	our
Backstrom-1992-210a-56	Standard-56	smoke	dʰuɑ̃	luge
Backstrom-1992-210a-57	Standard-57	ash	rɑkʰ	irɑ
Backstrom-1992-210a-58	Standard-58	mud	kičʌṛ	xʌṭɑ
Backstrom-1992-210a-59	Standard-59	dust	mɪṭˑi	gʌṛd / duṛɑ
Backstrom-1992-210a-60	Standard-60	gold	sonɑ	srʌ zʌr
Backstrom-1992-210a-61	Standard-61	tree	dʌrʌxt/peṛ	wʌnʌ
Backstrom-1992-210a-62	Standard-62	leaf	pʌtˑɑ/-i	pɑṇɑ
Backstrom-1992-210a-63	Standard-63	root	dʌrʌxt kɑ ɛk ǰʌṛ	ǰʌrʌṛe
Backstrom-1992-210a-64	Standard-64	thorn	kɑ̃ˑṭɑ	ɑzɣe
Backstrom-1992-210a-65	Standard-65	flower	pʰul	gwʌl
Backstrom-1992-210a-66	Standard-66	fruit	pʰʌl	mewɑ
Backstrom-1992-210a-67	Standard-67	mango	ɑm	ɑm
Backstrom-1992-210a-68	Standard-68	banana	kelɑ	kelɑ
Backstrom-1992-210a-69	Standard-69	wheat (husked)	gehũ / gʌndum	ɣʌnʌm
Backstrom-1992-210a-70	Standard-70	barley	bɑǰrɑ	wɑrbʌši
Backstrom-1992-210a-71	Standard-71	rice (husked)	čɑwʌl	wriǰe
Backstrom-1992-210a-72	Standard-72	potato	ɑlu	ɑlu
Backstrom-1992-210a-73	Standard-73	eggplant	bæŋʌn	tor bɑṭiŋgʌ̃ṛ
Backstrom-1992-210a-74	Standard-74	groundnut	muŋ pʰʌli	mumpɑli
Backstrom-1992-210a-75	Standard-75	chili	mɪrč	mʌrčʌke / mrʌč
Backstrom-1992-210a-76	Standard-76	turmeric	hʌldi	kurkʌmʌn
Backstrom-1992-210a-77	Standard-77	garlic	lɛhsʌn	ugɑ
Backstrom-1992-210a-78	Standard-78	onion	piɑz	piɑz
Backstrom-1992-210a-79	Standard-79	cauliflower	pʰul gobi	gobi / gwʌl gopi
Backstrom-1992-210a-80	Standard-80	tomato	ṭʌmɑṭʌr	sur bɑṭiŋgʌ̃ṛ
Backstrom-1992-210a-81	Standard-81	cabbage	bʌnd gobi	bʌn gobi
Backstrom-1992-210a-82	Standard-82	oil	tel	tel
Backstrom-1992-210a-83	Standard-83	salt	nʌmʌk	mɑlgɑ
Backstrom-1992-210a-84	Standard-84	meat	gošt (kʰɑne ke lie)	ɣwʌxɑ
Backstrom-1992-210a-85	Standard-85	fat (of meat)	čɛrbi (gošt kɑ hissɑ)	wɑzdʌ
Backstrom-1992-210a-86	Standard-86	fish	mʌčʰli	kʌb
Backstrom-1992-210a-87	Standard-87	chicken	mʊrɣi	čʌrgʌ
Backstrom-1992-210a-88	Standard-88	egg	ek ʌṇḍɑ	hɔ / ɑge
Backstrom-1992-210a-89	Standard-89	cow	gɑe	ɣwɑ
Backstrom-1992-210a-90	Standard-90	buffalo	bʰɛ̃s	mexɑ
Backstrom-1992-210a-91	Standard-91	milk	dudʰ	pe
Backstrom-1992-210a-92	Standard-92	horns	ek siŋg	xkʌr
Backstrom-1992-210a-93	Standard-93	tail	dʊm	lʌke
Backstrom-1992-210a-94	Standard-94	goat	bʌkri	bizɑ
Backstrom-1992-210a-95	Standard-95	dog	kʊtˑɑ	spe
Backstrom-1992-210a-96	Standard-96	snake	sɑ̃ɑ̃p	mɑr
Backstrom-1992-210a-97	Standard-97	monkey	bʌndʌr	bizo
Backstrom-1992-210a-98	Standard-98	mosquito	mʌčʰˑʌr	mɑše
Backstrom-1992-210a-99	Standard-99	ant	čiũṭi	mege
Backstrom-1992-210a-100	Standard-100	spider	mʌkṛi	ǰolɑ
Backstrom-1992-210a-101	Standard-101	name	nɑm	num
Backstrom-1992-210a-102	Standard-102	man	ɑdmi / mʌrd	sɑṛe
Backstrom-1992-210a-103	Standard-103	woman	ɔrʌt	xʌzʌ
Backstrom-1992-210a-104	Standard-104	child	bʌčˑʌ	mɑšum
Backstrom-1992-210a-105	Standard-105	father	bɑp	plɑr
Backstrom-1992-210a-106	Standard-106	mother	mɑ̃	mor
Backstrom-1992-210a-107	Standard-107	older brother	bʌṛɑ bʰɑi	mʌšʌr ror
Backstrom-1992-210a-108	Standard-108	younger brother	čʰoṭɑ bʰɑi	kʌšʌr ror
Backstrom-1992-210a-109	Standard-109	older sister	bʌṛi bʌhɛn / bɑǰi	mʌšrɑ xor
Backstrom-1992-210a-110	Standard-110	younger sister	čʰoṭi bʌhɛn	kʌšrɑ xor
Backstrom-1992-210a-111	Standard-111	son	beṭɑ	zwe
Backstrom-1992-210a-112	Standard-112	daughter	beṭi	lur
Backstrom-1992-210a-113	Standard-113	husband	šohʌr / xɑwʌnd	xɑwɑnd
Backstrom-1992-210a-114	Standard-114	wife	bivi	xʌzɑ
Backstrom-1992-210a-115	Standard-115	boy	lʌṛkɑ	hɑlʌk / ɑlʌk
Backstrom-1992-210a-116	Standard-116	girl	lʌṛki	ǰine
Backstrom-1992-210a-117	Standard-117	day	dɪn / roz	wrʌz
Backstrom-1992-210a-118	Standard-118	night	rɑt / šʌb	špɑ
Backstrom-1992-210a-119	Standard-119	morning	subʌh / sʌwerɑ	sʌhɑr
Backstrom-1992-210a-120	Standard-120	noon	dopʌhɛr	ɣɑrmʌ
Backstrom-1992-210a-121	Standard-121	evening	šɑm	mɑxɑm
Backstrom-1992-210a-122	Standard-122	yesterday	(gʊzɑrɑ) kʌl	pɑrun
Backstrom-1992-210a-123	Standard-123	today	ɑǰ	nʌn
Backstrom-1992-210a-124	Standard-124	tomorrow	(ɑindʌ) kʌl	sʌbɑ
Backstrom-1992-210a-125	Standard-125	week	ek hʌftʌ	hɑftʌ
Backstrom-1992-210a-126	Standard-126	month	mʌhinɑ	miɑšt
Backstrom-1992-210a-127	Standard-127	year	sɑl / bʌrʌs	kɑl
Backstrom-1992-210a-128	Standard-128	old	pʊrɑnɑ (čiz ke lie)	zoṛ
Backstrom-1992-210a-129	Standard-129	new	neɑ (čiz)	nʌwe
Backstrom-1992-210a-130	Standard-130	good	ʌčʰˑɑ (čiz)	xə
Backstrom-1992-210a-131	Standard-131	bad	xʌrɑb (čiz)	xɑrɑb
Backstrom-1992-210a-132	Standard-132	wet	bʰigɑ	lund
Backstrom-1992-210a-133	Standard-133	dry	xʊšk /sukʰɑ	wʌčʰ
Backstrom-1992-210a-134	Standard-134	long	lʌmbɑ	ugud
Backstrom-1992-210a-135	Standard-135	short	čʰoṭɑ	lʌnḍ / čit
Backstrom-1992-210a-136	Standard-136	hot	gʌrʌm (čiz)	tod / gʌrʌm
Backstrom-1992-210a-137	Standard-137	cold	ṭʰʌṇḍɑ / sʌrdi (čiz)	yʌx
Backstrom-1992-210a-138	Standard-138	right	dɑẽ / dɑẽʸɑ	xe
Backstrom-1992-210a-139	Standard-139	left	bɑẽ / bɑẽʸɑ	gʌs
Backstrom-1992-210a-140	Standard-140	near	qʌrib / nʌzdik	nizde
Backstrom-1992-210a-141	Standard-141	far	dur	lʌre
Backstrom-1992-210a-142	Standard-142	big	bʌṛɑ	ɣʌṭ
Backstrom-1992-210a-143	Standard-143	small	čʰoṭɑ	wʌrkoṭe / wɑṛuke
Backstrom-1992-210a-144	Standard-144	heavy	bʰɑri / wʌzni	drund
Backstrom-1992-210a-145	Standard-145	light	hʌlkɑ	spʌk
Backstrom-1992-210a-146	Standard-146	above	upʌr	učʌt / pɑs
Backstrom-1992-210a-147	Standard-147	below	niče	lɑnde
Backstrom-1992-210a-148	Standard-148	white	sʊfɛd	spin
Backstrom-1992-210a-149	Standard-149	black	kɑlɑ	tor
Backstrom-1992-210a-150	Standard-150	red	lɑl	sur
Backstrom-1992-210a-151	Standard-151	one	ek	yʌo
Backstrom-1992-210a-152	Standard-152	two	do	dwɑ
Backstrom-1992-210a-153	Standard-153	three	tin	dre
Backstrom-1992-210a-154	Standard-154	four	čɑr	sɑlor
Backstrom-1992-210a-155	Standard-155	five	pɑ̃č	pinzə
Backstrom-1992-210a-156	Standard-156	six	čʰɛ	špʌg
Backstrom-1992-210a-157	Standard-157	seven	sɑt	uwə
Backstrom-1992-210a-158	Standard-158	eight	ɑṭʰ	ɑtə
Backstrom-1992-210a-159	Standard-159	nine	nʌo	nʌhʌ
Backstrom-1992-210a-160	Standard-160	ten	dʌs	lʌs
Backstrom-1992-210a-161	Standard-161	eleven	gyɑrʌ	yɑolʌs
Backstrom-1992-210a-162	Standard-162	twelve	bɑrʌ	dolʌs
Backstrom-1992-210a-163	Standard-163	twenty	bis	šʌl
Backstrom-1992-210a-164	Standard-164	one hundred	ek so	sʌl
Backstrom-1992-210a-165	Standard-165	who	kɔn	sok
Backstrom-1992-210a-166	Standard-166	what	kyɑ	sə
Backstrom-1992-210a-167	Standard-167	where	kɪdʰʌr / kɑhɑ̃	čɑrtʌ
Backstrom-1992-210a-168	Standard-168	when	kʌb	kʌlɑ
Backstrom-1992-210a-169	Standard-169	how many	kitne	somrɑ / so
Backstrom-1992-210a-170	Standard-170	which	kɔnsʌ	kʌm
Backstrom-1992-210a-171	Standard-171	this	ye	dɑ
Backstrom-1992-210a-172	Standard-172	that	wo	ɑɣɑ
Backstrom-1992-210a-173	Standard-173	these	ye (sʌb)	dɑ
Backstrom-1992-210a-174	Standard-174	those	wo (sʌb)	ɑɣɑ
Backstrom-1992-210a-175	Standard-175	same	ek hi / bʌrɑbʌr	yɑo šɑn / yɑo rʌŋ
Backstrom-1992-210a-176	Standard-176	different	mʊxtʌlɪf	mʊxtʌlɛf / biɛl kɪsʌm
Backstrom-1992-210a-177	Standard-177	whole	mʊkʌmˑʌl / sɑlɪm	roɣ / sɑbʌt
Backstrom-1992-210a-178	Standard-178	broken	ṭuṭɑ	mɑt
Backstrom-1992-210a-179	Standard-179	few	tʰoṛɑ / kʊč / kʌm	lʌg
Backstrom-1992-210a-180	Standard-180	many	ziɑˑdʌ	ḍer / ziɑt
Backstrom-1992-210a-181	Standard-181	all	sʌb	ṭol
Backstrom-1992-210a-182	Standard-182	to eat / eat!	tʊm kʰɑo	xoṛʌl / tʌ uxṛʌ
Backstrom-1992-210a-183	Standard-183	to bite / the dog bites / bit	kɑṭnɑ / kutˑɑ kɑṭɑ hɛ	čičʌl / spi očičʌlo
Backstrom-1992-210a-184	Standard-184	to be hungry / you are hungry	bʰukʰ lʌgnɑ / tʊm ko bʰukʰ lʌgtɑ hɛ	oge kedʌl / tə wʌge ye
Backstrom-1992-210a-185	Standard-185	to drink / drink!	pinɑ / tʊm pio / pi lo	skʌl / tə wʌskʌ
Backstrom-1992-210a-186	Standard-186	to be thirsty / you are thirsty	piɑs lʌgnɑ / piɑs lʌgtɑ hɛ	tʌge kedʌl / tʌgeⁱ ye
Backstrom-1992-210a-187	Standard-187	to sleep / sleep!	sonɑ / tʊm so ǰɑo	udʌ kedʌl / tə udʌ šɑ
Backstrom-1992-210a-188	Standard-188	to lie / lie down!	leṭnɑ / tʊm leṭ ǰɑo	sʌmlɑstʌl / tə sʌmlɑ
Backstrom-1992-210a-189	Standard-189	to sit / sit!	bæṭʰnɑ / tʊm bæṭʰ ǰɑo	kenɑstʌl / tə kenɑ
Backstrom-1992-210a-190	Standard-190	to give / give!	denɑ / tʊm de do / do	wɑrkɑwɑl / tʌ wɑrkʌ
Backstrom-1992-210a-191	Standard-191	burn (the wood)!	ǰɑlɑnɑ / tʊm lʌkṛi ǰʌlɑo	tʌ lɑrgi oswɑzʌwʌ
Backstrom-1992-210a-192	Standard-192	to die / he died	mʌrnɑ / vo mʌr geɑ	mṛʌ kedʌl / hɑɣɑ mʌṛ šo
Backstrom-1992-210a-193	Standard-193	to kill / kill the bird!	mɑrnɑ / tʊm čiṛiɑ mɑr do	wʌǰʌl / tʌ mɑrɣʌⁱ uwɑlɑ
Backstrom-1992-210a-194	Standard-194	to fly / the bird flies / flew	ʊṛnɑ / čiṛiɑ ʊṛti hɑi	ʌlwʌtʌl / mɑrɣʌⁱ wɑlwɑtʌ
Backstrom-1992-210a-195	Standard-195	walk!	čʌlnɑ / tʊm čʌlo	tə piɑdʌ lɑršɑ
Backstrom-1992-210a-196	Standard-196	to run / run!	dɔṛnɑ / tʊm dɔṛo	mʌnḍɑ wʌhʌl / tʌ mʌnḍʌ uwɑ
Backstrom-1992-210a-197	Standard-197	to go / go!	ǰɑnɑ / tʊm ǰɑo	tʌlʌl / tə lɑršɑ
Backstrom-1992-210a-198	Standard-198	to come / come!	ɑnɑ / tʊm ɑo	rɑtlʌl / tə rɑšɑ
Backstrom-1992-210a-199	Standard-199	to speak / speak!	bolnɑ / tʊm bolo	wɑyʌl / tʌ uwɑyʌ
Backstrom-1992-210a-200	Standard-200	to hear / hear! / listen!	sʊnɑ / tʊm sʊno	ɑwredʌl / tʌ wɑwrʌ
Backstrom-1992-210a-201	Standard-201	to look / look!	dekʰɑ / tʊm dekʰo	kʌtʌl / tɑ ugorʌ
Backstrom-1992-210a-202	Standard-202	I	mæ̃	zə
Backstrom-1992-210a-203	Standard-203	you (informal)	tʊm / tu	tə
Backstrom-1992-210a-204	Standard-204	you (formal)	ɑp	tɑso
Backstrom-1992-210a-205	Standard-205	he	vo	hɑɣɑ
Backstrom-1992-210a-206	Standard-206	she	vo	hɑɣɑ
Backstrom-1992-210a-207	Standard-207	we (inclusive)	hʌm (hʌm ɔr vo)	muŋgʌ
Backstrom-1992-210a-208	Standard-208	we (exclusive)	hʌm (hʌm, vo nehĩ)	muŋgʌ
Backstrom-1992-210a-209	Standard-209	you (plural)	tʊm (tʊm log)	tɑso
Backstrom-1992-210a-210	Standard-210	they	vo	hɑɣwi
