GLOSS ID	LIST ID	ENGLISH	URDU	PASHTO
Backstrom-1992-210a-1	Standard-1	body	ǰɪsm	bɑdʌn
Backstrom-1992-210a-2	Standard-2	head	sʌr	sʌr
Backstrom-1992-210a-3	Standard-3	hair	bɑl	wextə
Backstrom-1992-210a-4	Standard-4	face	čɛhrʌ	mʌx
Backstrom-1992-210a-5	Standard-5	eye	ek ɑ̃kʰ	stʌrgʌ
Backstrom-1992-210a-6	Standard-6	ear	ek kɑn	ɣwʌg
Backstrom-1992-210a-7	Standard-7	nose	nɑk	pozʌ
Backstrom-1992-210a-8	Standard-8	mouth	mũh	xo̱lə
Backstrom-1992-210a-9	Standard-9	teeth	ek dɑ̃t	ɣɑx
Backstrom-1992-210a-10	Standard-10	tongue	zʌbɑn	ǰɪbʌ / žɪbʌ
Backstrom-1992-210a-11	Standard-11	breast	čʰɑti	sinɑ
Backstrom-1992-210a-12	Standard-12	belly	peṭ	xeṭʌ / geḍʌ
Backstrom-1992-210a-13	Standard-13	arm/hand	bɑzu	lɑs
Backstrom-1992-210a-14	Standard-14	elbow	kohni	sʌŋgʌl
Backstrom-1992-210a-15	Standard-15	palm	hʌtʰeli	tʌle
Backstrom-1992-210a-16	Standard-16	finger	ʊŋgli	gotʌ
Backstrom-1992-210a-17	Standard-17	fingernail	nɑxʊn	nukʰ
Backstrom-1992-210a-18	Standard-18	leg	ṭɑŋ	xpɑ
Backstrom-1992-210a-19	Standard-19	skin	ǰɪld	sɑrmʌn
Backstrom-1992-210a-20	Standard-20	bone	hʌḍˑi	ɑḍuke
Backstrom-1992-210a-21	Standard-21	heart	dɪl	zʌ̱ṛə
Backstrom-1992-210a-22	Standard-22	blood	xun	winɑ
Backstrom-1992-210a-23	Standard-23	urine	pešɑb	tʌše mutiɑze
Backstrom-1992-210a-24	Standard-24	feces	pexɑnɑ	ḍʌke mutiɑze
Backstrom-1992-210a-25	Standard-25	village	gɑũ	kʌle
Backstrom-1992-210a-26	Standard-26	house	gʰʌr/mʌkɑn	kor
Backstrom-1992-210a-27	Standard-27	roof	čʰʌt	čʌtʰ
Backstrom-1992-210a-28	Standard-28	door	dʌrwɑzʌ	wʌr / dʌrwɑzɑ
Backstrom-1992-210a-29	Standard-29	firewood	ǰʌlɑne wɑli lʌkṛi	dʌ swʌzedo lʌrgi
Backstrom-1992-210a-30	Standard-30	broom	ǰʰɑṛu	ǰɑru
Backstrom-1992-210a-31	Standard-31	mortar	mɑsɑlɑ pisne gol čiz/lʌŋgri	lʌŋgʌreⁱ
Backstrom-1992-210a-32	Standard-32	pestle	hʌtʰˑi /dʌstɑ/hɑtʰ kɑ hɪsˑʌ	čɔtu
Backstrom-1992-210a-33	Standard-33	hammer	hʌtʰɔṛɑ/-i	sɑṭʌk
Backstrom-1992-210a-34	Standard-34	knife	čɑqu/čʰuri	čɑku / čɑṛʌ
Backstrom-1992-210a-35	Standard-35	axe	kʊlhɑṛɑ/-i	tʌbʌr
Backstrom-1992-210a-36	Standard-36	rope	rʌsˑi	pʌṛe
Backstrom-1992-210a-37	Standard-37	thread	dʰɑgɑ	tɑr
Backstrom-1992-210a-38	Standard-38	needle	sui	stʌn
Backstrom-1992-210a-39	Standard-39	cloth	kʌpṛɑ	kɑpṛɑ
Backstrom-1992-210a-40	Standard-40	ring	ʌŋguṭʰi	gotɑ
Backstrom-1992-210a-41	Standard-41	sun	surʌǰ	nwʌr
Backstrom-1992-210a-42	Standard-42	moon	čɑnd	spogmɑⁱ
Backstrom-1992-210a-43	Standard-43	sky	ɑsmɑn	ɑsmɑn
Backstrom-1992-210a-44	Standard-44	star	ek tɑrɑ/sɪtɑrɑ	store
Backstrom-1992-210a-45	Standard-45	rain	bɑrɪš	bɑrɑn
Backstrom-1992-210a-46	Standard-46	water	pɑni	ubə
Backstrom-1992-210a-47	Standard-47	river	dʌryɑ	sind
Backstrom-1992-210a-48	Standard-48	cloud	bɑdʌl	wʌryʌz
Backstrom-1992-210a-49	Standard-49	lightning	bɪǰɪli ki čʌmʌk	pṛʌkigi
