GLOSS ID	LIST ID	ENGLISH	PSU	SHM	CHP	YAS	ISH
Backstrom-1992-210d-1	Wakhi-1	body	ʊstxɔn	ʊstxɔn	ʊstxɔn	ɪstxɔn	ʊstxɔn
Backstrom-1992-210d-2	Wakhi-2	head	sʌr	sʌr	sʌr	sʌr	sʌr
Backstrom-1992-210d-3	Wakhi-3	hair	ṣ̌ɑfṣ̌	ṣ̌ɑfs	ṣ̌ʌfṣ̌	ṣ̌ʌfṣ̌	ṣ̌ʌfṣ̌
Backstrom-1992-210d-4	Wakhi-4	face	rui	rui	rui	rui	rui
Backstrom-1992-210d-5	Wakhi-5	one eye	čɛžm	čɛžm	čɛžm	čɛẓ̌m	čɛžm
Backstrom-1992-210d-6	Wakhi-6	one ear	ɣ̯iṣ̌	ɣ̯iṣ̌	ɣ̯iṣ̌	ɣ̯iṣ̌	ɣ̯ɪṣ̌
Backstrom-1992-210d-7	Wakhi-7	nose	mis	mis	mis	mis	mis
Backstrom-1992-210d-8	Wakhi-8	mouth	ɣʌṣ̌	ɣʌṣ̌	ɣʌṣ̌	ɣʌṣ̌	ɣʌṣ̌
Backstrom-1992-210d-9	Wakhi-9	one tooth	dɨndɨk	dɨndɨk	dʉndʉk	dɨndɨk	dɨndɨk
Backstrom-1992-210d-10	Wakhi-10	tongue	zɪkʰ	zikʰ	zikʰ	zɪkʰ	zik
Backstrom-1992-210d-11	Wakhi-11	breast			puz	pʌz	pɪžbʌr
Backstrom-1992-210d-12	Wakhi-12	belly	dʊˑr	dʊˑr	dʊˑr	duˑr	dʊˑr
Backstrom-1992-210d-13	Wakhi-13	arm	yʊrm	yʊrm	yʊrm	yʊrm	yʊrm
Backstrom-1992-210d-14	Wakhi-14	elbow	bɛˈrɛt	bɛˈrɛt	bɛˈrɛt	bɛˈrɛt	bɛˈrɛt
Backstrom-1992-210d-15	Wakhi-15	palm of hand	pʰʊn	pʰʊn	pʰun		pʰʊn
Backstrom-1992-210d-16	Wakhi-16	finger	yɑŋgl	yʌŋgl	yɑŋgl	yɑŋgl	yʌŋgl
Backstrom-1992-210d-17	Wakhi-17	fingernail	regæθ	pɔx	riɣæθ	diger	digʌr
Backstrom-1992-210d-18	Wakhi-18	leg	leŋg	leŋg	leŋg	lɑŋg	leŋg
Backstrom-1992-210d-19	Wakhi-19	skin	pist	pist	pist	pɪst	pist
Backstrom-1992-210d-20	Wakhi-20	bone	yæšč	yʌšč	yʌšč	yʌšč	yæʰšč
Backstrom-1992-210d-21	Wakhi-21	heart	pɪˈzɨv	pɨˈzɨv	pʉˈzʉv	pɪˈzɨv	pɪˈzɪv
Backstrom-1992-210d-22	Wakhi-22	blood	wʊx̯ɛn	wʊx̯en	wʊx̯en	wʊx̯ɛn	wʊx̯ɛn
Backstrom-1992-210d-23	Wakhi-23	urine	mizg	mizg	mizg	mizg	mizg
Backstrom-1992-210d-24	Wakhi-24	feces	rɛx	rɛx	rɛx	rɛx	rɛx
Backstrom-1992-210d-25	Wakhi-25	village	dior	mʉɬk	dior	dior	dior
Backstrom-1992-210d-26	Wakhi-26	house	xon	xon	xʊn	xʊn	xʊn
Backstrom-1992-210d-27	Wakhi-27	roof	kʊtʰ	kʊt	kʰut	kutʰ	kʊt
Backstrom-1992-210d-28	Wakhi-28	door	bɑr	bɑr	bɑr	bɑr	bɑr
Backstrom-1992-210d-29	Wakhi-29	firewood	ɣoz	ɣoz	ɣuz	ɣoz	ɣoz
Backstrom-1992-210d-30	Wakhi-30	broom	drɛpč	drɛpč	drɛpč	drɛpč	drɛpč
Backstrom-1992-210d-31	Wakhi-31	butter churn	soˈɣo	soˈgo	soˈgo	soˈɣo	soˈgo
Backstrom-1992-210d-32	Wakhi-32	agitator / pestle	pʌˈdɑr	pʌˈdɑr	pʌˈdɑr	pʌˈdɑr	pʌˈdɑr
Backstrom-1992-210d-33	Wakhi-33	hammer	sʊnˈdon	sʊnˈdon	dʌpok / hʌtʰɔrɑ	bʌloˈkɑ	bʌloˈkɑ
Backstrom-1992-210d-34	Wakhi-34	knife	kʰɛẓ̌	kʰɛž	kʰɛẓ̌	kʰɛẓ̌	kʰɛẓ̌
