ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Urdu-1_body-1,,Urdu,1_body,ǰɪsm,ǰɪsm,dʑ ɪ s̪ m,,Backstrom1992,,
Pashto-1_body-1,,Pashto,1_body,bɑdʌn,bɑdʌn,b ɑ d ɜ n̪,,Backstrom1992,,
Urdu-2_head-1,,Urdu,2_head,sʌr,sʌr,s̪ ɜ ɾ̪/ɾ,,Backstrom1992,,
Pashto-2_head-1,,Pashto,2_head,sʌr,sʌr,s̪ ɜ ɾ̪/ɾ,,Backstrom1992,,
Urdu-3_hair-1,,Urdu,3_hair,bɑl,bɑl,b ɑ l,,Backstrom1992,,
Pashto-3_hair-1,,Pashto,3_hair,wextə,wextə,β̞ e x t̪ ə,,Backstrom1992,,
Urdu-4_face-1,,Urdu,4_face,čɛhrʌ,čɛhrʌ,tɕ ɛ h r̪ ɜ,,Backstrom1992,,
Pashto-4_face-1,,Pashto,4_face,mʌx,mʌx,m ɜ x,,Backstrom1992,,
Urdu-5_eye-1,,Urdu,5_eye,ek ɑ̃kʰ,ek ɑ̃kʰ,e k + ɑ̃ kʰ,,Backstrom1992,,
Pashto-5_eye-1,,Pashto,5_eye,stʌrgʌ,stʌrgʌ,s̪ t̪ ɜ r̪ g ɜ,,Backstrom1992,,
Urdu-6_ear-1,,Urdu,6_ear,ek kɑn,ek kɑn,e k + k ɑ n̪,,Backstrom1992,,
Pashto-6_ear-1,,Pashto,6_ear,ɣwʌg,ɣwʌg,ɣ β̞ ɜ g,,Backstrom1992,,
Urdu-7_nose-1,,Urdu,7_nose,nɑk,nɑk,n̪ ɑ k,,Backstrom1992,,
Pashto-7_nose-1,,Pashto,7_nose,pozʌ,pozʌ,p o z̪ ɜ,,Backstrom1992,,
Urdu-8_mouth-1,,Urdu,8_mouth,mũh,mũh,m ũ h,,Backstrom1992,,
Pashto-8_mouth-1,,Pashto,8_mouth,xo̱lə,xo̱lə,x o̠/o l ə,,Backstrom1992,,
Urdu-9_teeth-1,,Urdu,9_teeth,ek dɑ̃t,ek dɑ̃t,e k + d ɑ̃ t̪,,Backstrom1992,,
Pashto-9_teeth-1,,Pashto,9_teeth,ɣɑx,ɣɑx,ɣ ɑ x,,Backstrom1992,,
Urdu-10_tongue-1,,Urdu,10_tongue,zʌbɑn,zʌbɑn,z̪ ɜ b ɑ n̪,,Backstrom1992,,
Pashto-10_tongue-1,,Pashto,10_tongue,ǰɪbʌ / žɪbʌ,ǰɪbʌ,dʑ ɪ b ɜ,,Backstrom1992,,
Pashto-10_tongue-2,,Pashto,10_tongue,ǰɪbʌ / žɪbʌ,žɪbʌ,ʑ ɪ b ɜ,,Backstrom1992,,
Urdu-11_breast-1,,Urdu,11_breast,čʰɑti,čʰɑti,tɕʰ ɑ t̪ i,,Backstrom1992,,
Pashto-11_breast-1,,Pashto,11_breast,sinɑ,sinɑ,s̪ i n̪ ɑ,,Backstrom1992,,
Urdu-12_belly-1,,Urdu,12_belly,peṭ,peṭ,p e ʈ,,Backstrom1992,,
Pashto-12_belly-1,,Pashto,12_belly,xeṭʌ / geḍʌ,xeṭʌ,x e ʈ ɜ,,Backstrom1992,,
Pashto-12_belly-2,,Pashto,12_belly,xeṭʌ / geḍʌ,geḍʌ,g e ɖ ɜ,,Backstrom1992,,
Urdu-13_armhand-1,,Urdu,13_armhand,bɑzu,bɑzu,b ɑ z̪ u,,Backstrom1992,,
Pashto-13_armhand-1,,Pashto,13_armhand,lɑs,lɑs,l ɑ s̪,,Backstrom1992,,
Urdu-14_elbow-1,,Urdu,14_elbow,kohni,kohni,k o h n̪ i,,Backstrom1992,,
Pashto-14_elbow-1,,Pashto,14_elbow,sʌŋgʌl,sʌŋgʌl,s̪ ɜ ŋ g ɜ l,,Backstrom1992,,
Urdu-15_palm-1,,Urdu,15_palm,hʌtʰeli,hʌtʰeli,h ɜ tʰ e l i,,Backstrom1992,,
Pashto-15_palm-1,,Pashto,15_palm,tʌle,tʌle,t̪ ɜ l e,,Backstrom1992,,
Urdu-16_finger-1,,Urdu,16_finger,ʊŋgli,ʊŋgli,ʊ ŋ g l i,,Backstrom1992,,
Pashto-16_finger-1,,Pashto,16_finger,gotʌ,gotʌ,g o t̪ ɜ,,Backstrom1992,,
Urdu-17_fingernail-1,,Urdu,17_fingernail,nɑxʊn,nɑxʊn,n̪ ɑ x ʊ n̪,,Backstrom1992,,
Pashto-17_fingernail-1,,Pashto,17_fingernail,nukʰ,nukʰ,n̪ u kʰ,,Backstrom1992,,
Urdu-18_leg-1,,Urdu,18_leg,ṭɑŋ,ṭɑŋ,ʈ ɑ ŋ,,Backstrom1992,,
Pashto-18_leg-1,,Pashto,18_leg,xpɑ,xpɑ,x p ɑ,,Backstrom1992,,
Urdu-19_skin-1,,Urdu,19_skin,ǰɪld,ǰɪld,dʑ ɪ l d̪,,Backstrom1992,,
Pashto-19_skin-1,,Pashto,19_skin,sɑrmʌn,sɑrmʌn,s̪ ɑ r̪ m ɜ n̪,,Backstrom1992,,
Urdu-20_bone-1,,Urdu,20_bone,hʌḍˑi,hʌḍˑi,h ɜ ɖˑ i,,Backstrom1992,,
Pashto-20_bone-1,,Pashto,20_bone,ɑḍuke,ɑḍuke,ɑ ɖ u k e,,Backstrom1992,,
Urdu-21_heart-1,,Urdu,21_heart,dɪl,dɪl,d̪ ɪ l,,Backstrom1992,,
Pashto-21_heart-1,,Pashto,21_heart,zʌ̱ṛə,zʌ̱ṛə,z̪ ɜ̠/ɜ ɽ ə,,Backstrom1992,,
Urdu-22_blood-1,,Urdu,22_blood,xun,xun,x u n̪,,Backstrom1992,,
Pashto-22_blood-1,,Pashto,22_blood,winɑ,winɑ,β̞ i n̪ ɑ,,Backstrom1992,,
Urdu-23_urine-1,,Urdu,23_urine,pešɑb,pešɑb,p e ɕ ɑ b,,Backstrom1992,,
Pashto-23_urine-1,,Pashto,23_urine,tʌše mutiɑze,tʌše mutiɑze,t̪ ɜ ɕ e + m u t̪ i ɑ z̪ e,,Backstrom1992,,
Urdu-24_feces-1,,Urdu,24_feces,pexɑnɑ,pexɑnɑ,p e x ɑ n̪ ɑ,,Backstrom1992,,
Pashto-24_feces-1,,Pashto,24_feces,ḍʌke mutiɑze,ḍʌke mutiɑze,ɖ ɜ k e + m u t̪ i ɑ z̪ e,,Backstrom1992,,
Urdu-25_village-1,,Urdu,25_village,gɑũ,gɑũ,g ɑ ũ,,Backstrom1992,,
Pashto-25_village-1,,Pashto,25_village,kʌle,kʌle,k ɜ l e,,Backstrom1992,,
Urdu-26_house-1,,Urdu,26_house,gʰʌr/mʌkɑn,gʰʌr,gʱ ɜ ɾ̪/ɾ,,Backstrom1992,,
Urdu-26_house-2,,Urdu,26_house,gʰʌr/mʌkɑn,mʌkɑn,m ɜ k ɑ n̪,,Backstrom1992,,
Pashto-26_house-1,,Pashto,26_house,kor,kor,k o ɾ̪/ɾ,,Backstrom1992,,
Urdu-27_roof-1,,Urdu,27_roof,čʰʌt,čʰʌt,tɕʰ ɜ t̪,,Backstrom1992,,
Pashto-27_roof-1,,Pashto,27_roof,čʌtʰ,čʌtʰ,tɕ ɜ t̪ʰ,,Backstrom1992,,
Urdu-28_door-1,,Urdu,28_door,dʌrwɑzʌ,dʌrwɑzʌ,d̪ ɜ ɾ̪/ɾ β̞ ɑ z̪ ɜ,,Backstrom1992,,
