Grapheme	IPA	LANGUAGES
^	NULL	
$	NULL	
ʌ	ɜ	pashto, urdu, skb, kmg, ish, ronb, chp, khp, shm, shg, cho, uyu, yasc, hop, yas, hus, naz, psu, hyd, gan, mur, saz, kac, chj, thu, sat, jal, har, kol, krm, nag, chk, ron, pal, psk, goh, tan, gup, dsh, hun, dar, domaaki, sas, clt, gul, pun, bun, gil, ast, bag, drs
ɑ	ɑ	urdu, pashto, jal, gil, dar, pal, domaaki, chk, nag, pun, clt, gup, chj, dsh, goh, ast, hun, ron, sas, kol, tan, sat, bun, bag, naz, gan, kac, gul, krm, mur, hus, hyd, uyu, saz, har, hop, thu, psu, psk, yasc, yas, drs, chp, shg, shm, ish, ronb, skb, cho, khp, kmg
u	u	hus, naz, kac, thu, mur, gan, hyd, hop, uyu, sat, yasc, dar, goh, chk, chj, ron, kol, tan, pal, bag, domaaki, gil, dsh, nag, jal, clt, ast, har, bun, pun, sas, gup, saz, gul, krm, hun, psk, pashto, shg, ronb, chp, khp, skb, kmg, cho, urdu, shm, ish, psu, yas, drs
o	o	domaaki, chk, kac, pal, sat, krm, cho, chj, nag, psk, clt, goh, khp, kol, dar, skb, dsh, sas, ast, hun, pun, kmg, shg, jal, ronb, tan, bag, drs, gul, pashto, gil, bun, har, gup, ron, saz, hop, hyd, naz, mur, gan, yas, shm, uyu, urdu, hus, ish, chp, yasc, psu, thu
o$	o	krm, saz, sat, kac, dar, ron, tan, har, gul, chj, chk, goh, gup, shg, khp, ronb, skb, kmg, drs, cho, bag, psk, gil, hun, bun, nag, urdu, dsh, clt, ast, sas, hop, hyd, mur, gan, naz, pun, domaaki, jal, hus, pal, uyu, kol, thu, yasc, shm, yas, psu, chp, ish, pashto
i	i	naz, domaaki, gan, ish, psu, jal, mur, hus, kol, chp, hop, urdu, pal, uyu, yas, shm, hyd, chk, pun, cho, gup, sat, khp, gil, dsh, goh, tan, har, pashto, chj, saz, ronb, krm, clt, gul, shg, psk, bun, hun, dar, ron, skb, bag, nag, ast, thu, sas, kmg, yasc, kac, drs
s	s̪	dar, pal, pun, kac, gil, sat, goh, chj, gup, bun, chk, sas, jal, dsh, tan, ast, bag, shm, psu, domaaki, nag, kol, chp, clt, har, pashto, ron, gul, hun, ish, krm, yas, yasc, uyu, saz, naz, hyd, mur, gan, hop, hus, thu, urdu, kmg, skb, psk, shg, ronb, cho, khp, drs
_	_	urdu, pashto, sat, sas, kac, gil, chj, hun, dsh, ast, chk, ron, pun, goh, nag, clt, bag, bun, pal, gup, dar, gul, jal, krm, kol, tan, har, saz, domaaki, naz, hop, uyu, gan, thu, hyd, mur, hus, yasc, yas, chp, ish, psu, shm, drs, psk, cho, khp, skb, kmg, shg, ronb
i$	i	dar, kol, urdu, gil, clt, domaaki, sas, gup, kac, ron, tan, saz, chk, nag, hun, krm, pun, chj, bag, ast, har, sat, dsh, bun, drs, goh, jal, pal, gul, ish, yas, chp, mur, naz, hyd, uyu, shm, thu, psu, gan, hus, yasc, hop, kmg, psk, skb, cho, khp, shg, ronb, pashto
r	r̪	pashto, urdu, pal, kol, jal, cho, shg, ish, skb, kmg, psk, ronb, krm, khp, chk, sat, chp, yas, tan, psu, dar, shm, gil, chj, ron, sas, nag, goh, ast, gul, hus, clt, gup, har, thu, naz, hyd, mur, saz, yasc, hun, hop, kac, uyu, gan, domaaki, dsh, bun, bag, pun, drs
