Grapheme	IPA	LANGUAGES
t	t̪	urdu, dsh, pashto, ast, jal, tan, gup, hun, bun, clt, pal, yasc, gil, chj, chk, thu, psk, pun, kac, nag, kol, domaaki, ron, skb, sat, goh, sas, bag, cho, saz, gul, har, khp, dar, hop, shg, ronb, hus, krm, hyd, uyu, mur, kmg, drs, naz, gan, chp, ish, yas, shm, psu
n	n̪	urdu, cho, domaaki, shg, skb, chk, bun, dsh, kac, ronb, khp, kmg, sat, ast, gup, nag, psk, gil, jal, pal, pun, pashto, goh, clt, thu, kol, sas, chj, bag, gul, krm, yasc, hun, ron, hus, dar, gan, naz, hyd, uyu, mur, tan, hop, har, saz, drs, shm, chp, psu, yas, ish
^t	t̪	sat, pashto, sas, chk, nag, pun, kac, gil, dsh, clt, goh, gup, pal, kol, hun, ron, chj, ast, bag, bun, jal, dar, urdu, krm, har, tan, gul, saz, yasc, hus, domaaki, thu, uyu, hop, naz, ish, mur, gan, shm, chp, psu, skb, kmg, yas, ronb, hyd, shg, cho, psk, drs, khp
l	l	urdu, pashto, dar, dsh, bun, gil, sat, tan, goh, chj, ast, gul, ron, gan, hop, kac, nag, hus, krm, pun, domaaki, uyu, naz, hyd, hun, sas, mur, bag, chk, clt, gup, jal, har, saz, pal, kol, yas, shg, thu, yasc, shm, ish, skb, kmg, drs, psk, cho, psu, ronb, khp, chp
ɑ$	ɑ	urdu, domaaki, cho, pashto, khp, psk, kmg, ronb, shg, jal, dar, kol, skb, chj, har, pal, chk, krm, ron, saz, naz, chp, dsh, goh, yas, shm, hus, psu, clt, mur, gan, gup, nag, yasc, hyd, sas, bag, drs, kac, sat, ish, pun, bun, uyu, tan, ast, hop, gil, hun, thu, gul
n$	n̪	gan, hus, mur, naz, hyd, uyu, hop, thu, yasc, gil, goh, sas, pun, bag, ish, clt, domaaki, ast, gup, yas, shm, urdu, chk, nag, psu, dar, chj, har, khp, chp, hun, dsh, bun, ron, skb, kac, shg, cho, kmg, saz, gul, ronb, krm, pashto, tan, jal, pal, sat, psk, kol, drs
ɪ	ɪ	yas, ish, thu, yasc, tan, shm, hyd, sas, psu, chp, mur, pun, ron, skb, chj, gan, hop, urdu, hus, har, goh, domaaki, uyu, kmg, saz, chk, kac, nag, shg, dsh, bag, pal, kol, dar, ast, gup, gul, ronb, naz, sat, khp, bun, clt, cho, hun, krm, gil, jal, psk, drs, pashto
^b	b	urdu, domaaki, sas, pun, clt, jal, bun, chk, khp, goh, bag, gup, gul, gil, hun, dsh, dar, skb, hop, nag, kol, tan, ast, kmg, saz, pal, krm, har, uyu, mur, chj, kac, hus, thu, naz, sat, hyd, ish, yas, drs, gan, shg, yasc, cho, ron, ronb, psk, chp, shm, psu, pashto
^m	m	pashto, kol, domaaki, urdu, sas, bun, goh, jal, pal, thu, yasc, chj, kac, nag, sat, saz, chk, dar, clt, ron, uyu, gup, yas, har, ish, dsh, pun, mur, ast, gan, hop, shm, naz, hyd, hun, tan, bag, gul, hus, krm, cho, gil, psu, skb, kmg, ronb, psk, khp, chp, drs, shg
m	m	psk, gan, kmg, khp, mur, shg, hyd, skb, hop, urdu, naz, uyu, ronb, hus, thu, cho, yasc, pashto, domaaki, chp, chj, nag, psu, bag, yas, shm, hun, pun, clt, ron, kac, krm, sat, gil, bun, goh, sas, ast, gup, chk, jal, pal, ish, dsh, saz, har, kol, dar, tan, gul
m$	m	hop, uyu, mur, gan, naz, hus, thu, yasc, hyd, sat, dar, urdu, krm, chj, kac, bun, ron, sas, nag, jal, goh, gup, drs, chk, gul, kol, hun, ish, dsh, pun, domaaki, skb, tan, kmg, saz, shg, ronb, pal, har, gil, clt, bag, ast, cho, chp, psu, pashto, yas, shm, psk, khp
ɛ	ɛ	psu, yas, thu, shm, chp, yasc, ish, hyd, hop, gan, shg, mur, hus, naz, uyu, skb, tan, sat, khp, har, cho, ron, gil, kac, psk, domaaki, urdu, ronb, bag, ast, kmg, saz, krm, dar, chj, gup, gul, nag, pal, bun, clt, sas, drs, chk, jal, pun, goh, kol, hun, dsh, pashto
l$	l	pashto, krm, dsh, dar, ron, uyu, mur, ast, gan, hus, naz, hyd, pun, hop, gul, sat, sas, saz, urdu, bun, goh, chj, bag, chk, kac, nag, jal, pal, har, gil, clt, tan, gup, kol, thu, yasc, hun, shg, psk, skb, kmg, ronb, cho, khp, domaaki, yas, shm, drs, chp, ish, psu
^s	s̪	pashto, skb, cho, khp, ronb, psk, shg, urdu, kmg, yas, ish, psu, shm, chp, dar, saz, har, chj, tan, krm, bun, chk, jal, pal, dsh, goh, sas, ast, bag, kac, nag, thu, kol, yasc, clt, domaaki, uyu, hop, drs, gul, hus, hyd, gil, hun, pun, ron, mur, gan, gup, naz, sat
e	e	urdu, pashto, sas, shm, krm, chp, goh, gil, dsh, clt, ron, gul, kac, nag, kol, sat, psu, dar, domaaki, ast, bag, yas, hun, pun, saz, bun, gup, ish, chj, chk, jal, har, tan, mur, drs, hus, pal, hyd, hop, naz, psk, uyu, gan, yasc, cho, ronb, skb, kmg, thu, khp
^d	d̪	urdu, pal, clt, gup, yas, gul, nag, dsh, pun, bun, goh, sas, chj, bag, ast, chk, jal, krm, kol, sat, gil, hun, domaaki, ron, saz, kac, har, ish, tan, thu, yasc, chp, dar, drs, psu, pashto, shm, skb, hus, hyd, mur, shg, naz, uyu, gan, kmg, hop, ronb, cho, khp, psk
k	k	urdu, pashto, pal, gil, jal, kol, kac, pun, skb, gup, ronb, har, sat, khp, hun, clt, goh, domaaki, ron, sas, tan, bag, chk, shg, dar, kmg, krm, bun, chj, ast, nag, psk, cho, dsh, yas, saz, chp, shm, drs, psu, hop, gul, hus, thu, naz, yasc, uyu, mur, gan, hyd, ish
d	d	pashto, urdu, chk, dar, goh, bun, kmg, kac, krm, sat, psk, khp, pun, clt, saz, gil, chj, shm, shg, tan, gul, nag, jal, ronb, pal, cho, hun, domaaki, sas, skb, bag, ast, gup, har, kol, chp, dsh, uyu, yas, hop, hus, naz, yasc, ish, psu, mur, gan, thu, hyd, ron, drs
^k	k	urdu, jal, pal, clt, tan, kol, pun, pashto, goh, domaaki, ron, gup, dar, bun, sas, bag, saz, nag, chj, gul, har, gil, shm, chk, kac, krm, chp, hun, dsh, drs, sat, ish, psu, ast, kmg, yas, ronb, cho, skb, shg, psk, khp, uyu, hop, yasc, thu, mur, gan, hus, naz, hyd
r$	ɾ̪/ɾ	yas, chp, ish, pashto, shm, psu, hus, urdu, uyu, mur, gan, naz, domaaki, hop, nag, hyd, yasc, thu, gil, jal, pal, cho, dar, ron, skb, kol, bun, goh, shg, ronb, dsh, ast, kmg, saz, gul, kac, krm, har, psk, khp, sas, chj, tan, bag, drs, chk, sat, clt, gup, hun, pun
o̱$	o̠/o	kol, dsh, sas, hun, jal, pal, ast, pun, gil, chk, bun, gup, bag, clt, kac, gul, chj, sat, goh, saz, nag, tan, ron, har
^h	h	uyu, mur, gan, hop, thu, naz, yasc, hyd, hus, dar, saz, pal, kol, jal, har, goh, tan, urdu, domaaki, chk, chj, gup, gil, pun, pashto, sas, bag, bun, clt, ron, yas, nag, shm, krm, chp, hun, psu, dsh, skb, ast, kmg, gul, ronb, cho, khp, ish, shg, sat, kac, psk, drs
^ɑ	ɑ	pal, ast, domaaki, kol, gil, jal, dsh, gul, hun, pashto, goh, chk, thu, sat, clt, ron, uyu, sas, chj, tan, drs, urdu, kac, nag, krm, naz, dar, mur, bag, gan, gup, yasc, hyd, hop, hus, saz, pun, bun, ronb, skb, shg, har, khp, psk, cho, kmg, yas, shm, ish, chp, psu
u$	u	shg, ronb, psk, cho, skb, nag, kmg, drs, khp, clt, uyu, krm, har, mur, tan, gan, saz, yas, gul, hus, pal, naz, sat, hyd, psu, bag, gup, hop, shm, chk, thu, kol, yasc, chp, gil, ish, dsh, dar, ast, pun, goh, domaaki, ron, sas, urdu, kac, jal, hun, bun, chj, pashto
b	b	bun, sas, gil, pashto, urdu, hun, clt, goh, domaaki, bag, chj, kmg, chk, kac, sat, psk, cho, pun, dar, ron, tan, ast, gup, saz, gul, shg, krm, hyd, mur, nag, hus, har, thu, naz, khp, dsh, uyu, skb, gan, hop, pal, yasc, ronb, kol, ish, yas, jal, shm, drs, chp, psu
s$	s̪	naz, gan, hus, yasc, mur, hop, psk, khp, uyu, shg, thu, hyd, kmg, cho, skb, ronb, gul, kac, krm, kol, dar, chj, tan, ast, drs, sat, dsh, pashto, goh, saz, chk, jal, pal, har, domaaki, gup, shm, urdu, yas, ron, chp, ish, psu, pun, bun, sas, bag, hun
^g	g	thu, yasc, mur, gan, hus, hyd, naz, hop, uyu, sat, domaaki, saz, urdu, kac, psk, cho, khp, ish, pashto, skb, ast, nag, pal, chp, hun, bun, ron, sas, bag, gup, kmg, shm, gul, shg, har, kol, psu, dsh, dar, clt, goh, chj, yas, jal, ronb, krm, gil, pun, tan, chk, drs
ʊ	ʊ	urdu, psu, bun, shm, ish, kmg, skb, yas, chp, ron, gup, shg, cho, khp, thu, yasc, chj, saz, pun, ast, chk, nag, jal, ronb, sat, gil, dsh, uyu, har, hun, hop, pal, kol, goh, clt, sas, mur, tan, bag, drs, gul, hus, hyd, kac, psk, dar, domaaki, krm, naz, pashto
ʌ$	ɜ	skb, pashto, shg, kmg, ronb, khp, psk, cho, pal, urdu, chk, jal, thu, kol, mur, hop, yasc, hyd, uyu, gan, hus, naz, ish, chj, bun, saz, kac, sat, dar, goh, ron, ast, yas, shm, drs, hun, clt, domaaki, tan, gup, gul, krm, har, chp, psu, dsh
k$	k	ish, yas, shm, chp, psu, clt, domaaki, skb, nag, ronb, thu, yasc, hun, pun, shg, psk, gil, dar, goh, ron, sas, kmg, saz, urdu, hus, cho, khp, uyu, tan, ast, gan, gup, hop, kac, har, naz, sat, hyd, dsh, pashto, bun, mur, bag, chk, gul, kol, chj, drs, jal, pal, krm
ˈl	ˈl/l	kol, gup, jal, thu, yasc, uyu, hop, chj, gan, pal, naz, hyd, pun, gul, dar, goh, sas, mur, bag, chk, nag, gil, bun, clt, tan, saz, kac, hus, dsh, ron, ast, har, sat, hun, drs, krm, domaaki, yas, shm, chp, ish, psu
^p	p	shm, urdu, ish, chp, domaaki, psu, yas, pashto, nag, kac, kol, goh, gup, chk, shg, jal, ronb, gil, ron, skb, drs, pal, krm, sat, cho, pun, bag, saz, har, hun, bun, clt, sas, ast, kmg, gul, psk, khp, dsh, chj, tan, yasc, dar, uyu, thu, mur, gan, hop, hyd
p	p	cho, khp, skb, ronb, kmg, shg, psk, pashto, chp, yas, psu, shm, ish, bag, urdu, gil, uyu, mur, ast, gan, hop, kac, hus, naz, hyd, dsh, bun, clt, goh, ron, sas, chj, gup, saz, nag, krm, har, thu, hun, pun, dar, tan, chk, gul, jal, pal, kol, sat, domaaki, yasc
e$	e	pashto, drs, dar, domaaki, tan, saz, nag, krm, har, yasc, mur, skb, kmg, hus, thu, psk, hyd, khp, gan, naz, cho, ron, ronb, urdu, kac, shg, gil, gup, pal, sat, clt, goh, uyu, sas, hop, gul, jal, kol, hun, pun, bun, bag, chk, dsh, chj, ast, ish
^š	ɕ	dar, domaaki, chj, ast, shm, chk, kac, psk, chp, dsh, goh, sas, bag, kmg, yas, gul, nag, sat, psu, bun, clt, ron, pal, kol, gil, hun, ish, pun, skb, tan, gup, saz, jal, ronb, krm, har, thu, yasc, shg, hus, cho, khp, pashto, uyu, mur, gan, hop, drs, urdu, naz, hyd
u̱	u̠/u	clt, sas, nag, hun, pal, jal, gil, ast, pun, kol, gup, dsh, bag, bun, gul, dar, chj, chk, tan, goh, krm, saz, drs, kac
ˈr	ˈɾ̪/ɾ	mur, nag, naz, hyd, uyu, hop, gan, dar, domaaki, hus, hun, har, thu, bun, clt, gup, saz, kac, yasc, dsh, tan, ast, chk, sat, gul, chj, yas, shm, krm, chp, gil, ish, psu, pun, ron, bag, jal, pal, sas, kol, goh, drs
^č	tɕ	khp, domaaki, goh, ron, urdu, kac, sat, cho, sas, kmg, shg, jal, pal, pashto, skb, bag, chk, kol, chj, tan, saz, ronb, krm, har, psk, dar, clt, gil, bun, ast, shm, gul, nag, chp, hun, ish, psu, dsh, pun, gup, yas, drs, uyu, mur, gan, hop, hus, naz, yasc, hyd
ṭ	ʈ	urdu, ast, gup, dsh, domaaki, tan, gul, kac, sat, gil, pun, bun, goh, chj, chk, pashto, dar, ron, bag, nag, jal, har, clt, sas, gan, pal, krm, kol, hyd, mur, saz, hop, hus, naz, yasc, hun, uyu, drs, thu, psk, cho, chp, kmg, shm, khp, psu
g	g	pashto, urdu, goh, jal, kmg, pal, kol, psk, ish, domaaki, ron, tan, yas, shg, cho, khp, skb, chj, chk, ronb, thu, yasc, saz, kac, har, naz, psu, dsh, clt, uyu, bag, hop, shm, gul, nag, krm, hyd, chp, gil, bun, sas, ast, gan, hus, sat, pun, dar, mur, gup, hun
ṣ̌$	ʂ	naz, mur, hus, hyd, uyu, gan, hop, thu, yasc, drs, jal, har, sat, gul, chj, tan, saz, chk, dsh, pun, goh, ast, kac, krm, kol, gil, dar, domaaki, yas, pal, chp, ish, psu, bun, clt, ron, sas, bag, gup, shm, nag, hun
^l	l	pashto, jal, pal, shm, kol, psk, cho, khp, pun, skb, tan, gup, kmg, urdu, shg, ronb, ron, chj, saz, yas, har, chp, psu, chk, kac, ish, dsh, bun, clt, goh, bag, hun, dar, sas, ast, krm, sat, gil, domaaki, drs, gul, nag, mur, gan, hop, hus, thu, naz, hyd
ŋ	ŋ	khp, skb, shg, psk, cho, ronb, kmg, sat, kac, ish, ast, yas, urdu, krm, psu, pashto, shm, gul, chp, hus, bun, ron, mur, nag, kol, dsh, domaaki, uyu, gup, jal, thu, naz, yasc, hyd, pun, dar, clt, goh, sas, chj, tan, gan, saz, drs, chk, pal, gil, hun
^ˈb	ˈb/b	ron, tan, saz, gil, clt, bag, nag, krm, ast, chk, har, kol, dsh, pun, sas, chj, gup, jal, hun, gul, dar, bun, goh, uyu, gan, hop, kac, hus, pal, naz, sat, mur, drs, thu, yasc, hyd, domaaki
ŋ$	ŋ	skb, shg, ronb, khp, kmg, cho, psk, hop, domaaki, thu, yasc, uyu, naz, kac, hus, hyd, dsh, clt, ron, mur, chj, ast, gan, chk, nag, har, goh, sas, tan, bag, gup, saz, drs, urdu, gul, jal, krm, sat, gil, hun, pun, pashto, dar, bun
^n	n̪	yas, shm, urdu, chp, ish, psu, saz, psk, dar, domaaki, sas, pal, har, pashto, tan, bag, kac, jal, kol, sat, cho, khp, ron, skb, chj, ast, gup, shg, yasc, gil, dsh, pun, goh, kmg, drs, chk, gul, nag, ronb, thu, bun, clt, mur, hus, krm, naz, hyd, hun, uyu, gan, hop
^y	j	psu, shm, chp, yas, ish, hus, naz, uyu, mur, gan, hop, hyd, thu, yasc, psk, pashto, skb, kmg, shg, ronb, dsh, kac, cho, khp, domaaki, ron, ast, saz, drs, urdu, krm, sat, clt, goh, sas, chj, tan, bag, gup, chk, gul, nag, jal, pal, har, kol, gil, hun, pun, dar, bun
t$	t̪	chp, yas, ish, psu, shm, urdu, shg, yasc, pashto, skb, ronb, thu, psk, khp, bun, domaaki, uyu, kmg, hop, nag, cho, dsh, mur, tan, ast, gan, gup, drs, gul, hus, krm, naz, hyd, gil, dar, clt, ron, sas, chj, bag, saz, chk, kac, jal, pal, har, sat, hun, pun
ṛ	ɽ	urdu, pashto, jal, krm, dar, tan, kol, pal, goh, chk, sat, chj, bag, saz, har, bun, ron, sas, gup, clt, skb, ast, gul, kac, nag, shg, ronb, gil, hun, domaaki, kmg, dsh, pun, cho, drs, psk, khp
z	z̪	pashto, shm, shg, ish, chp, psu, yas, skb, kmg, kol, cho, khp, dar, sat, ron, urdu, ronb, tan, saz, chk, kac, krm, har, psk, gil, goh, chj, ast, gup, drs, jal, pal, pun, bun, clt, sas, bag, nag, dsh, domaaki, gul, hus, thu, naz, yasc, hun
č	tɕ	psk, domaaki, chj, goh, urdu, chk, thu, kol, cho, clt, skb, shg, ronb, yasc, chp, dsh, pashto, ron, sas, mur, kmg, hop, nag, jal, hus, hyd, khp, hun, dar, tan, ast, bag, gan, saz, shm, gul, kac, har, krm, naz, sat, gil, ish, psu, uyu, gup, yas, drs, pal, pun, bun
š	ɕ	pashto, domaaki, kmg, shm, skb, psu, chj, gan, shg, naz, hyd, cho, khp, chp, dar, clt, goh, uyu, mur, tan, yas, hop, jal, ronb, har, gil, ish, ast, saz, urdu, chk, kac, hus, kol, sat, ron, sas, gul, nag, pal, krm, thu, yasc, psk, hun, dsh, bun, bag, gup, pun
^ˈɑ	ˈɑ/ɑ	dar, chk, gup, gil, bag, krm, ast, saz, nag, har, dsh, clt, jal, kol, hun, pun, gul, ron, sas, chj, tan, sat, drs, kac, goh, uyu, mur, gan, hop, hus, naz, yasc, hyd, bun, pal, thu, domaaki
^ǰ	dʑ	chj, pal, chk, domaaki, sas, bag, jal, kol, gil, hun, bun, clt, goh, urdu, gul, nag, dsh, pun, pashto, dar, ron, uyu, mur, tan, gan, saz, hop, hus, krm, naz, hyd, ast, gup, drs, kac, har, yas, shm, shg, thu, sat, chp, psu, skb, ronb, yasc, khp
ɑɑ	ɑ ɑ	gul, ron, sas, thu, yasc, dar, bun, krm, pun, mur, hus, naz, hyd, uyu, gan, hop, clt, gup, pal, tan, bag, saz, nag, har, ast, chk, kac, jal, kol, hun, dsh, goh, chj, gil, drs, sat
^pʰ	pʰ	sas, kac, sat, clt, goh, ron, ast, bag, psk, dsh, skb, kmg, cho, khp, hun, pun, gul, dar, domaaki, chj, tan, gup, shg, hus, gil, bun, drs, urdu, chk, nag, ronb, krm, har, saz, yas, kol, naz, psu, mur, gan, hop, shm, jal, pal, yasc, hyd, chp, ish
^r	ɾ̪/ɾ	cho, skb, kmg, psk, psu, chp, shm, yas, khp, ish, ronb, urdu, shg, gil, nag, ron, drs, pal, sas, kol, pashto, domaaki, tan, bag, gup, saz, kac, jal, krm, thu, pun
i̱$	i̠/i	ast, bun, jal, gil, pun, sas, gup, dsh, clt, chj, pal, gul, nag, bag, hun, goh, tan, saz, chk, kac, kol, sat, ron, har
^ˈk	ˈk/k	chj, chk, kac, dsh, dar, ast, drs, hun, tan, krm, sat, clt, saz, nag, pal, har, gil, pun, gul, bun, goh, sas, gup, jal, kol, domaaki, ron, bag, uyu, mur, gan, yas, hop, shm, hus, thu, naz, hyd, chp, ish, psu
ˈg	ˈg/g	clt, gil, sas, pun, dar, bag, hun, bun, tan, chk, nag, gup, pal, dsh, chj, har, kol, ast, saz, jal, ron, gul, domaaki, uyu, drs, ish, goh, mur, hop, shm, kac, hus, thu, sat, yasc, chp
o̱	o̠/o	gil, pun, hun, clt, sas, jal, bag, ast, dsh, bun, gup, nag, pal, kol, ron, kac, sat, gul, goh, chj, saz, chk, krm, har, tan, pashto, dar
y	j	hop, naz, uyu, mur, hyd, gan, hus, pashto, domaaki, yasc, bag, urdu, gul, har, thu, psu, skb, kmg, saz, shm, nag, shg, ronb, pal, kol, sat, psk, cho, khp, chp, ish, clt, goh, ron, sas, chj, tan, ast, gup, yas, chk, kac, jal, hun, dsh, pun, dar
ˈt	ˈt̪/t̪	uyu, hyd, mur, gan, hus, naz, hop, thu, domaaki, yasc, dar, bun, clt, goh, sas, chk, nag, pun, ron, chj, bag, gup, pal, har, gil, gul, tan, ast, saz, drs, kac, kol, hun, yas, shm, jal, krm, sat, psu
^ˈm	ˈm/m	chk, ast, jal, gil, dsh, clt, sas, tan, gup, pal, hun, pun, dar, ron, chj, bag, nag, bun, kac, gul, goh, saz, har, kol, sat, mur, gan, hop, hus, naz, hyd, uyu, shm, drs, krm, yasc, chp, psu
ˈk	ˈk/k	ron, pun, krm, sas, pal, kol, domaaki, chj, bag, gup, kac, nag, jal, sat, gil, drs, chk, gul, dar, bun, clt, goh, ast, saz, hus, har, hun, dsh, uyu, mur, tan, gan, hop, naz, hyd, yas, thu, yasc, ish, psu
ẓ̌	ʐ	ast, bag, dsh, gul, clt, goh, ron, kac, pal, krm, sat, hun, pun, chj, gup, chk, nag, jal, gil, dar, bun, sas, saz, har, kol, tan, drs, domaaki, yas, thu, yasc
ˈd	ˈd̪/d̪	sas, bag, saz, yas, chk, nag, hun, psu, clt, uyu, chj, tan, ast, hop, shm, jal, pal, har, chp, gil, ish, pun, ron, mur, gan, hus, krm, kol, naz, hyd, dsh, dar, bun, domaaki, gup, kac, thu, sat, gul, goh, drs, yasc
ɛ$	ɛ	thu, yasc, hop, kac, uyu, goh, naz, chj, gan, hus, har, mur, urdu, chk, sat, hyd, dsh, ron, tan, shm, drs, krm, chp, clt, ast, saz, shg, jal, psu, sas, bag, kmg, yas, ronb, pal, kol, psk, gul, dar, bun
ˈm	ˈm/m	domaaki, uyu, mur, gup, gan, hop, hus, naz, hyd, chp, yas, shm, jal, pal, thu, kol, yasc, ish, psu, chj, tan, ast, chk, kac, sat, dsh, gul, dar, sas, saz, nag, har, krm, gil, hun, pun, bun, clt, goh, ron, bag
^tʰ	t̪ʰ	shg, skb, psk, cho, khp, kmg, ronb, thu, yasc, hop, naz, uyu, mur, gan, hus, hyd, yas, domaaki, shm, kac, sat, chp, ish, psu, gul, chj, urdu, krm, dar
^ṣ̌	ʂ	dar, yas, shm, chp, ish, psu, clt, sas, bag, gup, gil, hun, dsh, pun, goh, ron, chj, tan, ast, saz, drs, chk, jal, krm, har, bun, gan, hop, kac, nag, thu, kol, naz, sat, yasc, hyd, gul, domaaki, uyu, mur, skb, hus, pal, khp
ṇ	ɳ	chk, chj, kol, bun, jal, goh, dar, ron, tan, saz, drs, pal, har, sat, dsh, ast, gup, gul, kac, krm, pun, domaaki, urdu, gil, pashto, sas, bag, nag
š$	ɕ	pal, pun, gup, domaaki, sas, gul, kac, krm, thu, kol, sat, yasc, dar, goh, chj, tan, bag, ast, saz, drs, chk, jal, har, gil, ish, dsh, bun, ron, uyu, chp, psu, clt, mur, yas, hop, shm, urdu, nag, hus, naz, hyd, hun
ˈy	ˈj/j	sas, thu, clt, uyu, mur, gan, hop, naz, hyd, hun, bag, nag, hus, yasc, ron, bun, ast, saz, gil, dsh, kac, jal, pal, goh, domaaki, gup, yas, har, kol, sat, ish, pun, gul
ɑ̀	ɑ̀/ɑ	clt, pun, sas, bag, gil, hun, nag, jal, bun, goh, ast, kac, sat, dsh, chj, tan, gup, pal, har, kol, gul, ron, chk, dar, saz, krm
́	NULL	
ó	ó/o	gil, bun, goh, clt, nag, sas, chj, hun, ast, bag, dsh, pun, kac, sat, gul, ron, tan, saz, chk, domaaki, gup, krm, dar, pal, kol
ˈš	ˈɕ/ɕ	kac, dar, goh, mur, gan, gup, saz, hus, naz, hyd, bun, uyu, sas, chj, tan, bag, hop, chk, nag, har, gil, hun, dsh, pun, clt, domaaki, ast, pal, thu, kol, sat, yasc, ron, shm, drs, jal, krm, chp, psu, gul
^kʰ	kʰ	psk, cho, skb, kmg, shg, ronb, khp, chp, uyu, yas, naz, mur, hop, hus, hyd, hun, ish, psu, ast, bag, gan, shm, drs, nag, clt, domaaki, gup, saz, krm, gil, dar, bun
ù	ù/u	nag, clt, pun, bun, goh, kac, hun, sas, ast, pal, sat, gil, chj, bag, chk, dsh, tan, gup, kol, gul, jal, har, ron, saz
ˈn	ˈn̪/n̪	naz, gan, kol, hun, clt, sas, mur, nag, hyd, gil, gul, domaaki, ron, bag, gup, jal, hus, pal, yasc, goh, uyu, saz, yas, hop, shm, har, thu, chp, ish, dsh, pun, bun, chj, tan, ast, chk, kac, krm, sat, psu
oo	o o	tan, dar, saz, krm, har, ron, kol, gul, pun, uyu, sas, ast, bag, gup, kac, jal, pal, thu, yasc, dsh, clt, mur, gan, hop, chk, hus, naz, hyd, bun, chj, drs, nag, sat, hun
ɑ́	ɑ́/ɑ	gil, nag, hun, goh, kac, sat, dsh, bun, clt, ast, saz, pun, chj, tan, bag, chk, har, sas, gup, jal, gul, domaaki, ron, pal, kol, dar
^i	i	mur, hyd, naz, gan, uyu, hus, hop, thu, shg, ish, psu, hun, skb, shm, pashto
ṭ$	ʈ	hus, thu, bun, domaaki, uyu, mur, gan, hop, naz, yasc, hyd, clt, goh, ron, ast, drs, hun, dsh, sas, chj, bag, saz, chk, gul, kac, nag, jal, har, krm, sat, gil, dar, skb, tan, gup, urdu, shg, pal, kol, pun, pashto
