Source_ID	Name	Glottolog_Name	Glottocode	ISO639P3code	List_ID	List_Name	Location	Family	Latitude	Longitude	Note
KAC	Kachura (Jel)				F	Shina	Kachura Shina, Jel (Tsok) in Kachura Valley	Indo-European	35.439487	75.449668	Coordinates were retrieved from epsg.io
SAT	Satpara	Satpara	satp1241		F	Shina	Satpara Shina, Satpara (Saspur) Valley	Indo-European			
GUL	Gultari				F	Shina	Gultari Shina, Bunial in Gultari	Indo-European	34.660371	75.539611	Coordinates were retrieved from epsg.io
KRM	Kharmang	Kharmangi	khar1285		F	Shina	Kharmang Shina, Tarkati in Kharmang	Indo-European			
DRS	Dras	Dras	dras1242		F	Shina	Dras Shina, Bhimbhat in Dras (India)	Indo-European			
CHK	Chilas (Khinar)	Chilas	chil1277		F	Shina	Chilas Shina, Khinar in Tok Nala in Chilas	Indo-European			
CHJ	Chilas (Jelil)	Chilas	chil1277		F	Shina	Chilas Shina, Jelil in Chilas	Indo-European			
DAR	Darel	Darel	dare1241		F	Shina	Darel Shina, Gayal and Samegal in Darel	Indo-European			
TAN	Tangir	Tangir	tang1331		F	Shina	Tangir Shina, Gabbar in Tangir	Indo-European			
SAZ	Sazin	Sazin	sazi1238		F	Shina	Sazin Shina, Sazin	Indo-European			
HAR	Harban	Harban	harb1238		F	Shina	Harban Shina, Ting in Harban	Indo-European			
JAL	Jalkot	Jalkoti	jalk1241		F	Shina	Jalkot Shina, Uchar Nalla in Jalkot	Indo-European			
PAL	Palas	Palasi	pala1333		F	Shina	Palas Shina, Palas	Indo-European			
KOL	Kolai	Kolai	kola1284		F	Shina	Kolai Shina, Mahrin in Kolai	Indo-European			
