ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	IN_SOURCE_LANGUAGE_GROUP
Backstrom-1992-210a-1	1	body	1480	BODY	Urdu and Pashto
Backstrom-1992-210a-2	2	head	1256	HEAD	Urdu and Pashto
Backstrom-1992-210a-3	3	hair	1040	HAIR	Urdu and Pashto
Backstrom-1992-210a-4	4	face	1560	FACE	Urdu and Pashto
Backstrom-1992-210a-5	5	eye	1248	EYE	Urdu and Pashto
Backstrom-1992-210a-6	6	ear	1247	EAR	Urdu and Pashto
Backstrom-1992-210a-7	7	nose	1221	NOSE	Urdu and Pashto
Backstrom-1992-210a-8	8	mouth	674	MOUTH	Urdu and Pashto
Backstrom-1992-210a-9	9	teeth	1380	TOOTH	Urdu and Pashto
Backstrom-1992-210a-10	10	tongue	1205	TONGUE	Urdu and Pashto
Backstrom-1992-210a-11	11	breast	1402	BREAST	Urdu and Pashto
Backstrom-1992-210a-12	12	belly	1251	BELLY	Urdu and Pashto
Backstrom-1992-210a-13	13	arm/hand	2121	ARM OR HAND	Urdu and Pashto
Backstrom-1992-210a-14	14	elbow	981	ELBOW	Urdu and Pashto
Backstrom-1992-210a-15	15	palm	1183	PALM OF HAND	Urdu and Pashto
Backstrom-1992-210a-16	16	finger	1303	FINGER	Urdu and Pashto
Backstrom-1992-210a-17	17	fingernail	1258	FINGERNAIL	Urdu and Pashto
Backstrom-1992-210a-18	18	leg	1297	LEG	Urdu and Pashto
Backstrom-1992-210a-19	19	skin	763	SKIN	Urdu and Pashto
Backstrom-1992-210a-20	20	bone	1394	BONE	Urdu and Pashto
Backstrom-1992-210a-21	21	heart	1223	HEART	Urdu and Pashto
Backstrom-1992-210a-22	22	blood	946	BLOOD	Urdu and Pashto
Backstrom-1992-210a-23	23	urine	1142	URINE	Urdu and Pashto
Backstrom-1992-210a-24	24	feces	675	FAECES (EXCREMENT)	Urdu and Pashto
Backstrom-1992-210a-25	25	village	930	VILLAGE	Urdu and Pashto
Backstrom-1992-210a-26	26	house	1252	HOUSE	Urdu and Pashto
Backstrom-1992-210a-27	27	roof	769	ROOF	Urdu and Pashto
Backstrom-1992-210a-28	28	door	1567	DOOR	Urdu and Pashto
Backstrom-1992-210a-29	29	firewood	10	FIREWOOD	Urdu and Pashto
Backstrom-1992-210a-30	30	broom	245	BROOM	Urdu and Pashto
Backstrom-1992-210a-31	31	mortar	224	MORTAR CRUSHER	Urdu and Pashto
Backstrom-1992-210a-32	32	pestle	225	PESTLE	Urdu and Pashto
Backstrom-1992-210a-33	33	hammer	1481	HAMMER	Urdu and Pashto
Backstrom-1992-210a-34	34	knife	1352	KNIFE	Urdu and Pashto
Backstrom-1992-210a-35	35	axe	677	AXE	Urdu and Pashto
Backstrom-1992-210a-36	36	rope	1218	ROPE	Urdu and Pashto
Backstrom-1992-210a-37	37	thread	1161	THREAD	Urdu and Pashto
Backstrom-1992-210a-38	38	needle	1382	NEEDLE (FOR SEWING)	Urdu and Pashto
Backstrom-1992-210a-39	39	cloth	1616	CLOTH	Urdu and Pashto
Backstrom-1992-210a-40	40	ring	1374	RING	Urdu and Pashto
Backstrom-1992-210a-41	41	sun	1343	SUN	Urdu and Pashto
Backstrom-1992-210a-42	42	moon	1313	MOON	Urdu and Pashto
Backstrom-1992-210a-43	43	sky	1732	SKY	Urdu and Pashto
Backstrom-1992-210a-44	44	star	1430	STAR	Urdu and Pashto
Backstrom-1992-210a-45	45	rain	658	RAIN (PRECIPITATION)	Urdu and Pashto
Backstrom-1992-210a-46	46	water	948	WATER	Urdu and Pashto
Backstrom-1992-210a-47	47	river	666	RIVER	Urdu and Pashto
Backstrom-1992-210a-48	48	cloud	1489	CLOUD	Urdu and Pashto
Backstrom-1992-210a-49	49	lightning	1654	LIGHTNING	Urdu and Pashto
Backstrom-1992-210a-50	50	rainbow	1733	RAINBOW	Urdu and Pashto
Backstrom-1992-210a-51	51	wind	960	WIND	Urdu and Pashto
Backstrom-1992-210a-52	52	stone	857	STONE	Urdu and Pashto
Backstrom-1992-210a-53	53	path	2252	PATH	Urdu and Pashto
Backstrom-1992-210a-54	54	sand	671	SAND	Urdu and Pashto
Backstrom-1992-210a-55	55	fire	221	FIRE	Urdu and Pashto
Backstrom-1992-210a-56	56	smoke	778	SMOKE (EXHAUST)	Urdu and Pashto
Backstrom-1992-210a-57	57	ash	646	ASH	Urdu and Pashto
Backstrom-1992-210a-58	58	mud	640	MUD	Urdu and Pashto
Backstrom-1992-210a-59	59	dust	2	DUST	Urdu and Pashto
Backstrom-1992-210a-60	60	gold	1369	GOLD	Urdu and Pashto
Backstrom-1992-210a-61	61	tree	906	TREE	Urdu and Pashto
Backstrom-1992-210a-62	62	leaf	628	LEAF	Urdu and Pashto
Backstrom-1992-210a-63	63	root	670	ROOT	Urdu and Pashto
Backstrom-1992-210a-64	64	thorn	124	THORN	Urdu and Pashto
Backstrom-1992-210a-65	65	flower	239	FLOWER	Urdu and Pashto
Backstrom-1992-210a-66	66	fruit	1507	FRUIT	Urdu and Pashto
Backstrom-1992-210a-67	67	mango	2398	MANGO	Urdu and Pashto
Backstrom-1992-210a-68	68	banana	868	BANANA	Urdu and Pashto
Backstrom-1992-210a-69	69	wheat (husked)	1077	WHEAT	Urdu and Pashto
Backstrom-1992-210a-70	70	barley	932	BARLEY	Urdu and Pashto
Backstrom-1992-210a-71	71	rice (husked)	926	RICE	Urdu and Pashto
Backstrom-1992-210a-72	72	potato	593	POTATO	Urdu and Pashto
Backstrom-1992-210a-73	73	eggplant	1146	AUBERGINE	Urdu and Pashto
Backstrom-1992-210a-74	74	groundnut	2364	PEANUT	Urdu and Pashto
Backstrom-1992-210a-75	75	chili	919	CHILI PEPPER	Urdu and Pashto
Backstrom-1992-210a-76	76	turmeric	2842	TURMERIC	Urdu and Pashto
Backstrom-1992-210a-77	77	garlic	2368	GARLIC	Urdu and Pashto
Backstrom-1992-210a-78	78	onion	2366	ONION	Urdu and Pashto
Backstrom-1992-210a-79	79	cauliflower	2843	CAULIFLOWER	Urdu and Pashto
Backstrom-1992-210a-80	80	tomato	986	TOMATO	Urdu and Pashto
Backstrom-1992-210a-81	81	cabbage	774	CABBAGE	Urdu and Pashto
Backstrom-1992-210a-82	82	oil	1484	OIL (ORGANIC SUBSTANCE)	Urdu and Pashto
Backstrom-1992-210a-83	83	salt	1274	SALT	Urdu and Pashto
Backstrom-1992-210a-84	84	meat	634	MEAT	Urdu and Pashto
Backstrom-1992-210a-85	85	fat (of meat)	1282	FAT (FROM ANIMALS)	Urdu and Pashto
Backstrom-1992-210a-86	86	fish	227	FISH	Urdu and Pashto
Backstrom-1992-210a-87	87	chicken	1318	CHICKEN	Urdu and Pashto
Backstrom-1992-210a-88	88	egg	744	EGG	Urdu and Pashto
Backstrom-1992-210a-89	89	cow	1007	COW	Urdu and Pashto
Backstrom-1992-210a-90	90	buffalo	934	BUFFALO	Urdu and Pashto
Backstrom-1992-210a-91	91	milk	635	MILK	Urdu and Pashto
Backstrom-1992-210a-92	92	horns	1393	HORN (ANATOMY)	Urdu and Pashto
Backstrom-1992-210a-93	93	tail	1220	TAIL	Urdu and Pashto
Backstrom-1992-210a-94	94	goat	1502	GOAT	Urdu and Pashto
Backstrom-1992-210a-95	95	dog	2009	DOG	Urdu and Pashto
