ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	IN_SOURCE_LANGUAGE_GROUP
Backstrom-1992-210a-96	96	snake	730	SNAKE	Urdu and Pashto
Backstrom-1992-210a-97	97	monkey	1350	MONKEY	Urdu and Pashto
Backstrom-1992-210a-98	98	mosquito	1509	MOSQUITO	Urdu and Pashto
Backstrom-1992-210a-99	99	ant	587	ANT	Urdu and Pashto
Backstrom-1992-210a-100	100	spider	843	SPIDER	Urdu and Pashto
Backstrom-1992-210a-101	101	name	1405	NAME	Urdu and Pashto
Backstrom-1992-210a-102	102	man	1554	MAN	Urdu and Pashto
Backstrom-1992-210a-103	103	woman	962	WOMAN	Urdu and Pashto
Backstrom-1992-210a-104	104	child	2099	CHILD	Urdu and Pashto
Backstrom-1992-210a-105	105	father	1217	FATHER	Urdu and Pashto
Backstrom-1992-210a-106	106	mother	1216	MOTHER	Urdu and Pashto
Backstrom-1992-210a-107	107	older brother	1759	OLDER BROTHER	Urdu and Pashto
Backstrom-1992-210a-108	108	younger brother	1760	YOUNGER BROTHER	Urdu and Pashto
Backstrom-1992-210a-109	109	older sister	1758	OLDER SISTER	Urdu and Pashto
Backstrom-1992-210a-110	110	younger sister	1761	YOUNGER SISTER	Urdu and Pashto
Backstrom-1992-210a-111	111	son	1620	SON	Urdu and Pashto
Backstrom-1992-210a-112	112	daughter	1357	DAUGHTER	Urdu and Pashto
Backstrom-1992-210a-113	113	husband	1200	HUSBAND	Urdu and Pashto
Backstrom-1992-210a-114	114	wife	1199	WIFE	Urdu and Pashto
Backstrom-1992-210a-115	115	boy	1366	BOY	Urdu and Pashto
Backstrom-1992-210a-116	116	girl	1646	GIRL	Urdu and Pashto
Backstrom-1992-210a-117	117	day	1225	DAY (NOT NIGHT)	Urdu and Pashto
Backstrom-1992-210a-118	118	night	1233	NIGHT	Urdu and Pashto
Backstrom-1992-210a-119	119	morning	1339	MORNING	Urdu and Pashto
Backstrom-1992-210a-120	120	noon	12	MIDDAY	Urdu and Pashto
Backstrom-1992-210a-121	121	evening	1629	EVENING	Urdu and Pashto
Backstrom-1992-210a-122	122	yesterday	1174	YESTERDAY	Urdu and Pashto
Backstrom-1992-210a-123	123	today	1283	TODAY	Urdu and Pashto
Backstrom-1992-210a-124	124	tomorrow	1329	TOMORROW	Urdu and Pashto
Backstrom-1992-210a-125	125	week	1469	WEEK	Urdu and Pashto
Backstrom-1992-210a-126	126	month	1370	MONTH	Urdu and Pashto
Backstrom-1992-210a-127	127	year	1226	YEAR	Urdu and Pashto
Backstrom-1992-210a-128	128	old	1229	OLD	Urdu and Pashto
Backstrom-1992-210a-129	129	new	1231	NEW	Urdu and Pashto
Backstrom-1992-210a-130	130	good	1035	GOOD	Urdu and Pashto
Backstrom-1992-210a-131	131	bad	1292	BAD	Urdu and Pashto
Backstrom-1992-210a-132	132	wet	1726	WET	Urdu and Pashto
Backstrom-1992-210a-133	133	dry	1398	DRY	Urdu and Pashto
Backstrom-1992-210a-134	134	long	1203	LONG	Urdu and Pashto
Backstrom-1992-210a-135	135	short	1645	SHORT	Urdu and Pashto
Backstrom-1992-210a-136	136	hot	1286	HOT	Urdu and Pashto
Backstrom-1992-210a-137	137	cold	1287	COLD	Urdu and Pashto
Backstrom-1992-210a-138	138	right	1019	RIGHT	Urdu and Pashto
Backstrom-1992-210a-139	139	left	244	LEFT	Urdu and Pashto
Backstrom-1992-210a-140	140	near	1942	NEAR	Urdu and Pashto
Backstrom-1992-210a-141	141	far	1406	FAR	Urdu and Pashto
Backstrom-1992-210a-142	142	big	1202	BIG	Urdu and Pashto
Backstrom-1992-210a-143	143	small	1246	SMALL	Urdu and Pashto
Backstrom-1992-210a-144	144	heavy	1210	HEAVY	Urdu and Pashto
Backstrom-1992-210a-145	145	light	1052	LIGHT (WEIGHT)	Urdu and Pashto
Backstrom-1992-210a-146	146	above	1741	ABOVE	Urdu and Pashto
Backstrom-1992-210a-147	147	below	1485	BELOW OR UNDER	Urdu and Pashto
Backstrom-1992-210a-148	148	white	1335	WHITE	Urdu and Pashto
Backstrom-1992-210a-149	149	black	163	BLACK	Urdu and Pashto
Backstrom-1992-210a-150	150	red	156	RED	Urdu and Pashto
Backstrom-1992-210a-151	151	one	1493	ONE	Urdu and Pashto
Backstrom-1992-210a-152	152	two	1498	TWO	Urdu and Pashto
Backstrom-1992-210a-153	153	three	492	THREE	Urdu and Pashto
Backstrom-1992-210a-154	154	four	1500	FOUR	Urdu and Pashto
Backstrom-1992-210a-155	155	five	493	FIVE	Urdu and Pashto
Backstrom-1992-210a-156	156	six	1703	SIX	Urdu and Pashto
Backstrom-1992-210a-157	157	seven	1704	SEVEN	Urdu and Pashto
Backstrom-1992-210a-158	158	eight	1705	EIGHT	Urdu and Pashto
Backstrom-1992-210a-159	159	nine	1483	NINE	Urdu and Pashto
Backstrom-1992-210a-160	160	ten	1515	TEN	Urdu and Pashto
Backstrom-1992-210a-161	161	eleven	1706	ELEVEN	Urdu and Pashto
Backstrom-1992-210a-162	162	twelve	1707	TWELVE	Urdu and Pashto
Backstrom-1992-210a-163	163	twenty	1710	TWENTY	Urdu and Pashto
Backstrom-1992-210a-164	164	one hundred	1634	HUNDRED	Urdu and Pashto
Backstrom-1992-210a-165	165	who	1235	WHO	Urdu and Pashto
Backstrom-1992-210a-166	166	what	1236	WHAT	Urdu and Pashto
Backstrom-1992-210a-167	167	where	1237	WHERE	Urdu and Pashto
Backstrom-1992-210a-168	168	when	1238	WHEN	Urdu and Pashto
Backstrom-1992-210a-169	169	how many	822	HOW MANY	Urdu and Pashto
Backstrom-1992-210a-170	170	which	727	WHICH	Urdu and Pashto
Backstrom-1992-210a-171	171	this	1214	THIS	Urdu and Pashto
Backstrom-1992-210a-172	172	that	78	THAT	Urdu and Pashto
Backstrom-1992-210a-173	173	these	1214	THIS	Urdu and Pashto
Backstrom-1992-210a-174	174	those	78	THAT	Urdu and Pashto
Backstrom-1992-210a-175	175	same	200	SAME	Urdu and Pashto
Backstrom-1992-210a-176	176	different	2504	DIFFERENT	Urdu and Pashto
Backstrom-1992-210a-177	177	whole	2277	WHOLE	Urdu and Pashto
Backstrom-1992-210a-178	178	broken	588	BROKEN	Urdu and Pashto
Backstrom-1992-210a-179	179	few	1242	FEW	Urdu and Pashto
Backstrom-1992-210a-180	180	many	1198	MANY	Urdu and Pashto
Backstrom-1992-210a-181	181	all	98	ALL	Urdu and Pashto
Backstrom-1992-210a-182	182	to eat / eat!	1336	EAT	Urdu and Pashto
Backstrom-1992-210a-183	183	to bite / the dog bites / bit	1403	BITE	Urdu and Pashto
Backstrom-1992-210a-184	184	to be hungry / you are hungry	1533	BE HUNGRY	Urdu and Pashto
Backstrom-1992-210a-185	185	to drink / drink!	1401	DRINK	Urdu and Pashto
Backstrom-1992-210a-186	186	to be thirsty / you are thirsty	847	THIRSTY	Urdu and Pashto
Backstrom-1992-210a-187	187	to sleep / sleep!	1585	SLEEP	Urdu and Pashto
Backstrom-1992-210a-188	188	to lie / lie down!	1411	LIE (REST)	Urdu and Pashto
Backstrom-1992-210a-189	189	to sit / sit!	1416	SIT	Urdu and Pashto
Backstrom-1992-210a-190	190	to give / give!	1447	GIVE	Urdu and Pashto
Backstrom-1992-210a-191	191	burn (the wood)!	141	BURN (SOMETHING)	Urdu and Pashto
Backstrom-1992-210a-192	192	to die / he died	1494	DIE	Urdu and Pashto
Backstrom-1992-210a-193	193	to kill / kill the bird	1417	KILL	Urdu and Pashto
Backstrom-1992-210a-194	194	to fly / the bird flies / flew	1441	FLY (MOVE THROUGH AIR)	Urdu and Pashto
Backstrom-1992-210a-195	195	walk!	1443	WALK	Urdu and Pashto
Backstrom-1992-210a-196	196	to run / run!	1519	RUN	Urdu and Pashto
Backstrom-1992-210a-197	197	to go / go!	695	GO	Urdu and Pashto
Backstrom-1992-210a-198	198	to come / come!	1446	COME	Urdu and Pashto
Backstrom-1992-210a-199	199	to speak / speak!	1623	SPEAK	Urdu and Pashto
Backstrom-1992-210a-200	200	to hear / hear! / listen!	1408	HEAR	Urdu and Pashto
Backstrom-1992-210a-201	201	to look / look!	1819	LOOK	Urdu and Pashto
Backstrom-1992-210a-202	202	I	1209	I	Urdu and Pashto
Backstrom-1992-210a-203	203	you (informal)	1215	THOU	Urdu and Pashto
Backstrom-1992-210a-204	204	you (formal)	2844	YOU (FORMAL ADDRESS)	Urdu and Pashto
Backstrom-1992-210a-205	205	he	1211	HE	Urdu and Pashto
Backstrom-1992-210a-206	206	she	1834	SHE	Urdu and Pashto
Backstrom-1992-210a-207	207	we (inclusive)	1131	WE (INCLUSIVE)	Urdu and Pashto
Backstrom-1992-210a-208	208	we (exclusive)	1130	WE (EXCLUSIVE)	Urdu and Pashto
Backstrom-1992-210a-209	209	you (plural)	1213	YOU	Urdu and Pashto
Backstrom-1992-210a-210	210	they	817	THEY	Urdu and Pashto
Backstrom-1992-210b-1	1	body	1480	BODY	Balti
Backstrom-1992-210b-2	2	head	1256	HEAD	Balti
Backstrom-1992-210b-3	3	hair	1040	HAIR	Balti
Backstrom-1992-210b-4	4	face	1560	FACE	Balti
Backstrom-1992-210b-5	5	eye	1248	EYE	Balti
Backstrom-1992-210b-6	6	ear	1247	EAR	Balti
Backstrom-1992-210b-7	7	nose	1221	NOSE	Balti
Backstrom-1992-210b-8	8	mouth	674	MOUTH	Balti
Backstrom-1992-210b-9	9	teeth	1380	TOOTH	Balti
Backstrom-1992-210b-10	10	tongue	1205	TONGUE	Balti
Backstrom-1992-210b-11	11	breast	1402	BREAST	Balti
Backstrom-1992-210b-12	12	belly	1251	BELLY	Balti
Backstrom-1992-210b-13	13	arm	1673	ARM	Balti
Backstrom-1992-210b-14	14	elbow	981	ELBOW	Balti
Backstrom-1992-210b-15	15	palm	1183	PALM OF HAND	Balti
Backstrom-1992-210b-16	16	finger	1303	FINGER	Balti
Backstrom-1992-210b-17	17	fingernail	1258	FINGERNAIL	Balti
Backstrom-1992-210b-18	18	leg	1297	LEG	Balti
Backstrom-1992-210b-19	19	skin	763	SKIN	Balti
Backstrom-1992-210b-20	20	bone	1394	BONE	Balti
Backstrom-1992-210b-21	21	heart	1223	HEART	Balti
Backstrom-1992-210b-22	22	blood	946	BLOOD	Balti
Backstrom-1992-210b-23	23	urine	1142	URINE	Balti
Backstrom-1992-210b-24	24	feces	675	FAECES (EXCREMENT)	Balti
Backstrom-1992-210b-25	25	village	930	VILLAGE	Balti
Backstrom-1992-210b-26	26	house	1252	HOUSE	Balti
Backstrom-1992-210b-27	27	roof	769	ROOF	Balti
Backstrom-1992-210b-28	28	door	1567	DOOR	Balti
Backstrom-1992-210b-29	29	firewood	10	FIREWOOD	Balti
Backstrom-1992-210b-30	30	broom	245	BROOM	Balti
Backstrom-1992-210b-31	31	mortar	224	MORTAR CRUSHER	Balti
Backstrom-1992-210b-32	32	pestle	225	PESTLE	Balti
Backstrom-1992-210b-33	33	hammer	1481	HAMMER	Balti
Backstrom-1992-210b-34	34	knife	1352	KNIFE	Balti
Backstrom-1992-210b-35	35	axe	677	AXE	Balti
Backstrom-1992-210b-36	36	rope	1218	ROPE	Balti
Backstrom-1992-210b-37	37	thread	1161	THREAD	Balti
Backstrom-1992-210b-38	38	needle	1382	NEEDLE (FOR SEWING)	Balti
Backstrom-1992-210b-39	39	cloth	1616	CLOTH	Balti
Backstrom-1992-210b-40	40	ring	1374	RING	Balti
Backstrom-1992-210b-41	41	sun	1343	SUN	Balti
Backstrom-1992-210b-42	42	moon	1313	MOON	Balti
Backstrom-1992-210b-43	43	sky	1732	SKY	Balti
Backstrom-1992-210b-44	44	star	1430	STAR	Balti
Backstrom-1992-210b-45	45	rain	658	RAIN (PRECIPITATION)	Balti
Backstrom-1992-210b-46	46	water	948	WATER	Balti
Backstrom-1992-210b-47	47	river	666	RIVER	Balti
Backstrom-1992-210b-48	48	cloud	1489	CLOUD	Balti
Backstrom-1992-210b-49	49	lightning	1654	LIGHTNING	Balti
Backstrom-1992-210b-50	50	rainbow	1733	RAINBOW	Balti
Backstrom-1992-210b-51	51	wind	960	WIND	Balti
Backstrom-1992-210b-52	52	stone	857	STONE	Balti
Backstrom-1992-210b-53	53	path	2252	PATH	Balti
Backstrom-1992-210b-54	54	sand	671	SAND	Balti
Backstrom-1992-210b-55	55	fire	221	FIRE	Balti
Backstrom-1992-210b-56	56	smoke	778	SMOKE (EXHAUST)	Balti
Backstrom-1992-210b-57	57	ash	646	ASH	Balti
Backstrom-1992-210b-58	58	mud	640	MUD	Balti
Backstrom-1992-210b-59	59	dust	2	DUST	Balti
Backstrom-1992-210b-60	60	gold	1369	GOLD	Balti
Backstrom-1992-210b-61	61	tree	906	TREE	Balti
Backstrom-1992-210b-62	62	leaf	628	LEAF	Balti
Backstrom-1992-210b-63	63	root	670	ROOT	Balti
Backstrom-1992-210b-64	64	thorn	124	THORN	Balti
Backstrom-1992-210b-65	65	flower	239	FLOWER	Balti
Backstrom-1992-210b-66	66	fruit	1507	FRUIT	Balti
Backstrom-1992-210b-67	67	mango	2398	MANGO	Balti
Backstrom-1992-210b-69	68	wheat (husked)	1077	WHEAT	Balti
Backstrom-1992-210b-70	69	millet (husked)	931	MILLET	Balti
Backstrom-1992-210b-71	70	rice (husked)	926	RICE	Balti
Backstrom-1992-210b-72	71	potato	593	POTATO	Balti
Backstrom-1992-210b-73	72	eggplant	1146	AUBERGINE	Balti
Backstrom-1992-210b-75	73	chili	919	CHILI PEPPER	Balti
Backstrom-1992-210b-76	74	turmeric	2842	TURMERIC	Balti
Backstrom-1992-210b-77	75	garlic	2368	GARLIC	Balti
Backstrom-1992-210b-78	76	onion	2366	ONION	Balti
Backstrom-1992-210b-79	77	cauliflower	2843	CAULIFLOWER	Balti
Backstrom-1992-210b-80	78	tomato	986	TOMATO	Balti
Backstrom-1992-210b-81	79	cabbage	774	CABBAGE	Balti
Backstrom-1992-210b-82	80	oil	1484	OIL (ORGANIC SUBSTANCE)	Balti
Backstrom-1992-210b-83	81	salt	1274	SALT	Balti
Backstrom-1992-210b-84	82	meat	634	MEAT	Balti
Backstrom-1992-210b-85	83	fat	1282	FAT (FROM ANIMALS)	Balti
Backstrom-1992-210b-86	84	fish	227	FISH	Balti
Backstrom-1992-210b-87	85	chicken	1318	CHICKEN	Balti
Backstrom-1992-210b-88	86	egg	744	EGG	Balti
Backstrom-1992-210b-89	87	cow	1007	COW	Balti
Backstrom-1992-210b-91	88	milk	635	MILK	Balti
Backstrom-1992-210b-92	89	horns	1393	HORN (ANATOMY)	Balti
Backstrom-1992-210b-93	90	tail	1220	TAIL	Balti
Backstrom-1992-210b-94	91	female goat	2476	FEMALE GOAT	Balti
Backstrom-1992-210b-95	92	dog	2009	DOG	Balti
Backstrom-1992-210b-96	93	snake	730	SNAKE	Balti
Backstrom-1992-210b-97	94	monkey	1350	MONKEY	Balti
Backstrom-1992-210b-98	95	mosquito	1509	MOSQUITO	Balti
Backstrom-1992-210b-99	96	ant	587	ANT	Balti
Backstrom-1992-210b-100	97	spider	843	SPIDER	Balti
Backstrom-1992-210b-101	98	name	1405	NAME	Balti
Backstrom-1992-210b-102	99	man	1554	MAN	Balti
Backstrom-1992-210b-103	100	woman	962	WOMAN	Balti
Backstrom-1992-210b-104	101	child	2099	CHILD	Balti
Backstrom-1992-210b-105	102	father	1217	FATHER	Balti
Backstrom-1992-210b-106	103	mother	1216	MOTHER	Balti
Backstrom-1992-210b-107	104	older brother	1759	OLDER BROTHER	Balti
Backstrom-1992-210b-108	105	younger brother	1760	YOUNGER BROTHER	Balti
Backstrom-1992-210b-109	106	older sister	1758	OLDER SISTER	Balti
Backstrom-1992-210b-110	107	younger sister	1761	YOUNGER SISTER	Balti
Backstrom-1992-210b-111	108	son	1620	SON	Balti
Backstrom-1992-210b-112	109	daughter	1357	DAUGHTER	Balti
Backstrom-1992-210b-113	110	husband	1200	HUSBAND	Balti
Backstrom-1992-210b-114	111	wife	1199	WIFE	Balti
Backstrom-1992-210b-115	112	boy	1366	BOY	Balti
Backstrom-1992-210b-116	113	girl	1646	GIRL	Balti
Backstrom-1992-210b-117	114	day	1225	DAY (NOT NIGHT)	Balti
Backstrom-1992-210b-118	115	night	1233	NIGHT	Balti
Backstrom-1992-210b-119	116	morning	1339	MORNING	Balti
Backstrom-1992-210b-120	117	noon	12	MIDDAY	Balti
Backstrom-1992-210b-121	118	afternoon (late)	1807	AFTERNOON	Balti
Backstrom-1992-210b-122	119	yesterday	1174	YESTERDAY	Balti
Backstrom-1992-210b-123	120	today	1283	TODAY	Balti
Backstrom-1992-210b-124	121	tomorrow	1329	TOMORROW	Balti
Backstrom-1992-210b-125	122	week	1469	WEEK	Balti
Backstrom-1992-210b-126	123	month	1370	MONTH	Balti
Backstrom-1992-210b-127	124	year	1226	YEAR	Balti
Backstrom-1992-210b-128	125	old	1229	OLD	Balti
Backstrom-1992-210b-129	126	new	1231	NEW	Balti
Backstrom-1992-210b-130	127	good	1035	GOOD	Balti
Backstrom-1992-210b-131	128	bad	1292	BAD	Balti
Backstrom-1992-210b-132	129	wet	1726	WET	Balti
Backstrom-1992-210b-133	130	dry	1398	DRY	Balti
Backstrom-1992-210b-134	131	long	1203	LONG	Balti
Backstrom-1992-210b-135	132	short	1645	SHORT	Balti
Backstrom-1992-210b-136	133	hot	1286	HOT	Balti
Backstrom-1992-210b-137	134	cold	1287	COLD	Balti
Backstrom-1992-210b-138	135	right	1019	RIGHT	Balti
Backstrom-1992-210b-139	136	left	244	LEFT	Balti
Backstrom-1992-210b-140	137	near	1942	NEAR	Balti
Backstrom-1992-210b-141	138	far	1406	FAR	Balti
Backstrom-1992-210b-142	139	big	1202	BIG	Balti
Backstrom-1992-210b-143	140	small	1246	SMALL	Balti
Backstrom-1992-210b-144	141	heavy	1210	HEAVY	Balti
Backstrom-1992-210b-145	142	light	1052	LIGHT (WEIGHT)	Balti
Backstrom-1992-210b-146	143	above	1741	ABOVE	Balti
Backstrom-1992-210b-147	144	below	1485	BELOW OR UNDER	Balti
Backstrom-1992-210b-148	145	white	1335	WHITE	Balti
Backstrom-1992-210b-149	146	black	163	BLACK	Balti
Backstrom-1992-210b-150	147	red	156	RED	Balti
Backstrom-1992-210b-151	148	one	1493	ONE	Balti
Backstrom-1992-210b-152	149	two	1498	TWO	Balti
Backstrom-1992-210b-153	150	three	492	THREE	Balti
Backstrom-1992-210b-154	151	four	1500	FOUR	Balti
Backstrom-1992-210b-155	152	five	493	FIVE	Balti
Backstrom-1992-210b-156	153	six	1703	SIX	Balti
Backstrom-1992-210b-157	154	seven	1704	SEVEN	Balti
Backstrom-1992-210b-158	155	eight	1705	EIGHT	Balti
Backstrom-1992-210b-159	156	nine	1483	NINE	Balti
Backstrom-1992-210b-160	157	ten	1515	TEN	Balti
Backstrom-1992-210b-161	158	eleven	1706	ELEVEN	Balti
Backstrom-1992-210b-162	159	twelve	1707	TWELVE	Balti
Backstrom-1992-210b-163	160	twenty	1710	TWENTY	Balti
Backstrom-1992-210b-164	161	one-hundred	1634	HUNDRED	Balti
Backstrom-1992-210b-165	162	who	1235	WHO	Balti
Backstrom-1992-210b-166	163	what	1236	WHAT	Balti
Backstrom-1992-210b-167	164	where	1237	WHERE	Balti
Backstrom-1992-210b-168	165	when	1238	WHEN	Balti
Backstrom-1992-210b-169	166	how many	822	HOW MANY	Balti
Backstrom-1992-210b-170	167	which	727	WHICH	Balti
Backstrom-1992-210b-171	168	this	1214	THIS	Balti
Backstrom-1992-210b-172	169	that	78	THAT	Balti
Backstrom-1992-210b-173	170	these	1214	THIS	Balti
Backstrom-1992-210b-174	171	those	78	THAT	Balti
Backstrom-1992-210b-175	172	same	200	SAME	Balti
Backstrom-1992-210b-176	173	different	2504	DIFFERENT	Balti
Backstrom-1992-210b-178	174	broken	588	BROKEN	Balti
Backstrom-1992-210b-180	175	many	1198	MANY	Balti
Backstrom-1992-210b-181	176	all	98	ALL	Balti
Backstrom-1992-210b-182	177	(he) ate	1336	EAT	Balti
Backstrom-1992-210b-183	178	(the dog) bit	1403	BITE	Balti
Backstrom-1992-210b-184	179	(he was) hungry	1533	BE HUNGRY	Balti
Backstrom-1992-210b-185	180	(he) drank	1401	DRINK	Balti
Backstrom-1992-210b-186	181	(he was) thirsty	847	THIRSTY	Balti
Backstrom-1992-210b-187	182	(he) slept	1585	SLEEP	Balti
